Index,TCOO,Cooling_Cost,Heating_Cost
11,341775.74,"248.69,486.06,304.47,1274.75,249.41,1146.65,839.24,444.12,554.47,135.1,613.26,598.74,675.65,752.45,1384.68,915.05,504.35,318.52,530.54,273.57,810.64,255.27,465.4,334.36,258.27,139.4,469.54,109.16,263.74,209.41","15893.2,16066.01,13563.85,15690.75,13176.23,15270.03,15189.13,15279.02,16432.68,15545.09,14249.09,14494.92,14639.72,13254.06,13165.8,13949.78,14070.38,15780.94,13762.27,13789.98,14811.71,15811.1,15555.24,15085.32,14246.07,15085.96,13691.31,16753.85,14671.06,14409.55"
12,339673.77,"233.64,849.57,608.28,659.15,1301.08,492.49,1248.15,140.87,240.56,789.59,241.48,453.93,600.93,220.72,379.96,368.53,1313.84,273.88,199.9,771.86,1401.06,843.17,261.79,1536.95,597.02,732.74,381.65,318.79,593.26,588.02","14132.52,14765.43,14807.3,15974.06,15472.85,15342.09,14907.55,13636.11,16079.18,15113.13,14203.08,14527.02,13580.84,14456.35,12671.56,13389.11,15604.75,12520.6,14536.56,14189.61,13154.81,15055.18,14950.79,16239.24,15218.35,16609.45,12662.47,14692.47,14692.27,15062.86"
13,342462.1,"441.53,766.81,95.11,1213.56,729.88,699.98,563.21,939.52,508.06,1205.32,530.27,1108.63,911.36,486.3,304.47,636.9,897.09,928.93,793.8,1185.62,607.04,672.61,1092.59,504.25,572.37,776.98,851.07,1251.01,1062.06,523.93","14991.78,13384.06,14602.87,15914.58,13971.04,15676.52,13985.4,15484.66,14853.84,14017.01,13400.0,13600.6,13822.97,13340.06,16347.61,15965.13,13208.21,13143.71,16147.27,14318.49,16088.45,15719.38,12796.37,15907.86,15026.98,14132.88,16529.37,15384.35,14964.88,13443.41"
14,335575.81,"825.6,981.57,1063.13,360.91,702.63,209.02,971.57,1331.05,632.57,555.92,238.48,928.93,529.23,986.33,1512.43,900.18,1133.16,744.33,716.64,277.71,862.69,1323.94,843.09,557.81,700.82,374.11,933.29,1259.47,699.18,696.95","13724.89,12469.35,14458.21,13817.06,15077.11,16154.37,12605.79,13055.75,15125.07,15136.79,13834.1,14807.88,12946.37,12668.8,15514.69,13461.45,13765.45,15251.45,15574.52,13065.44,14155.32,15594.12,16692.26,13989.75,15205.71,15510.63,13362.47,13927.55,14996.18,13377.61"
15,337795.64,"800.4,1055.41,389.13,480.32,584.96,424.34,403.19,297.33,268.86,916.49,646.72,366.23,91.05,463.15,249.84,1117.79,551.93,1059.5,834.52,854.79,544.93,793.28,721.74,1232.67,1203.04,1630.47,906.36,884.93,527.86,916.76","12643.13,15090.36,14169.16,14909.71,15437.75,15681.96,13334.47,15969.79,14399.78,15735.51,14931.46,13950.72,14525.83,15656.24,12552.88,12615.95,14357.96,13761.85,13894.5,13317.9,14337.72,13793.39,15031.51,13059.35,15250.46,16033.91,14820.76,13189.34,16106.59,16557.11"
16,338172.52,"462.2,381.1,914.46,1167.67,421.79,718.53,635.2,318.05,827.67,504.25,113.47,482.46,1143.44,1260.04,920.88,372.34,656.42,669.83,483.0,388.54,732.69,322.79,822.13,449.09,1024.14,943.61,779.72,1425.11,230.62,740.67","13749.09,14344.63,14387.19,15255.84,14685.82,13941.05,13379.21,12971.45,14637.93,14885.41,14304.96,15059.78,16021.01,14066.14,15297.2,13473.81,14808.98,15289.45,13472.48,14126.87,15711.73,14888.54,15082.8,15465.44,15581.04,14892.42,14584.43,12847.31,13751.43,15532.59"
17,333561.79,"258.09,285.23,996.83,960.24,585.12,106.96,653.02,797.7,307.36,478.51,609.49,139.04,350.28,511.55,391.24,436.3,458.65,462.2,565.66,764.64,843.91,328.96,1282.06,971.7,1097.82,898.13,230.72,987.13,174.87,636.52","14059.3,13698.94,15009.47,13831.2,15114.98,14260.05,15030.24,14190.31,13403.25,15088.23,14537.81,14415.85,14916.11,13763.22,13861.87,13388.6,13899.66,14848.64,13310.75,14307.37,15044.4,13760.87,15546.42,14656.13,15407.82,15407.42,15411.82,13809.67,13522.3,14528.45"
18,339869.58,"124.93,1067.27,475.56,913.94,697.99,479.49,547.05,615.97,199.06,410.22,812.46,440.9,965.11,667.15,1522.16,441.44,1222.96,383.36,208.04,627.06,727.8,428.87,1239.54,1630.47,375.97,659.15,728.78,508.53,283.74,759.95","13333.2,14992.65,13807.41,13176.33,14372.19,14493.72,15906.79,13149.56,15290.6,14219.77,14424.56,14794.31,15996.69,14786.94,13613.15,14073.36,13543.49,14927.9,16173.45,13592.51,15618.84,15906.74,15205.71,15514.69,13409.41,15168.87,15287.97,15541.04,15429.0,14919.62"
19,333887.01,"482.91,1128.52,419.51,765.03,753.9,1480.34,778.81,790.37,1151.56,83.95,905.7,509.47,1037.83,310.01,153.27,290.71,607.25,330.8,1125.83,289.03,712.27,153.38,370.34,380.73,642.12,293.56,559.9,664.39,163.55,375.73","14247.41,14613.29,15224.75,14581.26,14680.52,14272.43,13838.66,14712.39,14516.84,13638.74,12984.72,14321.29,13734.53,12785.31,15031.65,15556.86,14752.74,12473.46,15500.42,15180.99,13003.62,14240.26,15806.63,14513.35,15302.66,13079.36,14136.93,13617.42,13930.89,15656.04"
20,331362.51,"1588.47,630.77,354.02,508.1,194.19,510.19,130.26,350.09,1223.09,689.99,845.41,202.67,194.37,96.56,406.21,709.82,144.95,208.59,1212.01,645.84,724.31,120.19,607.95,665.83,483.14,604.13,365.62,562.64,1089.71,551.93","15590.95,14283.98,13026.16,13878.86,13150.91,14268.33,16088.45,14333.48,12683.71,14614.1,14302.1,12397.47,14428.22,14895.49,13828.17,15051.33,13369.19,14760.19,15829.17,14456.62,14259.6,15752.68,14214.05,14150.76,14345.82,13313.18,15197.98,14532.88,13978.38,13986.01"
21,333385.65,"1213.69,459.83,817.59,653.08,520.16,513.9,422.87,108.2,700.15,272.05,1228.96,400.23,802.6,381.15,1049.84,542.23,491.95,522.4,597.78,1012.25,920.88,684.8,1026.58,145.15,1204.11,778.69,285.1,1386.16,306.7,831.42","15187.91,13455.16,12994.14,15062.56,15774.2,13866.03,15206.33,13317.54,15485.9,16012.61,13011.54,14580.77,13787.86,13620.22,14187.49,13150.25,13641.26,13776.1,13605.02,15418.92,13442.51,14053.04,13978.06,15714.85,14166.84,13265.84,14007.11,13694.99,16479.54,13544.81"
22,336412.78,"383.33,583.96,1603.65,565.66,772.01,434.36,721.74,413.62,106.96,633.67,329.61,417.89,906.96,415.79,205.81,480.32,180.57,614.9,1382.47,268.27,566.46,388.88,322.21,1204.24,923.71,1036.83,417.7,1332.33,731.05,770.44","16778.35,14680.52,16375.06,13217.81,15328.88,14639.97,14273.08,15088.73,13044.71,14974.31,12704.45,14843.22,12673.48,15114.15,12535.12,14901.98,12967.76,15789.26,13451.15,13808.59,15421.16,15475.56,15249.84,12907.68,13099.85,14908.16,13675.52,14942.38,14931.54,14203.08"
23,339397.34,"531.63,547.04,960.24,210.67,1797.24,221.66,978.78,966.32,708.9,691.26,404.69,667.24,431.96,143.97,1028.49,631.2,849.74,789.2,135.32,830.61,309.68,308.35,259.77,737.25,1045.64,706.15,179.95,873.27,845.01,358.4","15041.02,14281.62,15378.72,14596.45,14640.6,15269.49,13482.98,14469.49,14754.1,13900.62,12466.58,16563.46,14051.75,16520.02,14962.49,12951.68,13862.23,14411.23,14367.73,15913.56,15716.97,14437.98,14150.63,16111.33,15004.82,13129.15,14564.54,12945.07,15049.79,13764.25"
24,333964.17,"737.27,400.72,380.01,763.32,446.79,290.07,469.44,565.66,216.17,926.13,796.47,100.68,1446.67,585.17,146.58,290.79,746.35,1020.26,1298.22,579.25,940.86,932.9,721.74,1005.0,1196.35,333.68,245.88,755.43,491.95,443.5","15218.81,15435.54,14140.75,13990.18,14038.29,12499.17,15586.39,14172.63,14108.64,16021.19,15515.26,12950.02,14183.03,12862.99,14167.83,14938.18,15265.9,12796.37,12894.53,14737.79,14667.22,13889.39,15567.83,13458.61,14730.06,15114.86,15276.86,12941.44,13154.27,15247.63"
25,334658.99,"322.04,298.03,742.45,228.16,553.9,140.64,1275.61,224.96,1080.95,908.66,724.45,763.76,591.38,1453.63,1401.06,503.52,497.0,853.23,105.23,945.66,209.83,309.13,235.73,240.44,1203.17,661.11,784.59,1583.31,877.02,760.74","13623.18,14269.64,14170.36,14054.17,15064.25,14466.95,14270.24,14531.15,15639.67,15108.62,14603.38,15741.44,15606.64,14557.45,12607.91,13847.95,12712.22,14814.13,14207.39,14288.39,14298.63,13314.53,14882.18,13873.93,13098.1,14411.89,14120.18,14339.83,14882.34,13753.91"
26,341799.5,"731.52,1232.67,587.59,1506.0,973.27,261.68,987.81,241.08,457.07,533.14,1655.99,935.26,248.39,657.05,959.3,452.29,244.32,881.81,1013.27,322.16,982.59,642.12,1055.61,1101.01,411.07,136.01,253.07,616.4,221.93,679.23","15545.68,12796.72,15926.18,13283.33,15165.09,16448.39,14298.4,15546.33,13996.99,16317.88,14862.08,13411.02,14802.29,15207.26,13196.83,13825.0,12830.8,14122.6,14836.7,13508.31,14884.63,15103.87,14872.38,15763.39,15254.65,15625.96,14260.16,12708.93,15739.53,14013.53"
