Index,TCOO,Cooling_Cost,Heating_Cost
11,319303.68,"755.41,1093.65,402.92,451.93,614.53,1458.98,530.37,271.35,1355.68,910.31,152.96,1016.23,1263.62,754.31,955.26,1187.79,1134.17,485.52,910.21,279.35,909.02,1061.62,638.69,968.11,409.29,777.6,157.6,806.06,659.64,203.31","12324.21,15768.32,13014.15,14818.01,13244.37,12832.23,12999.91,14466.27,15787.36,13857.22,12896.19,12498.31,12881.45,15353.28,13818.33,13154.18,12979.73,15197.96,13866.78,14435.19,13689.17,14118.55,12339.57,14274.21,14896.85,14611.94,15730.32,16241.7,14441.77,15072.34"
12,309782.26,"219.7,817.98,209.71,372.24,255.89,709.79,878.63,462.14,543.96,765.61,401.81,283.02,926.57,136.29,298.6,229.3,1087.53,595.61,347.4,794.73,243.71,260.65,633.02,617.76,766.88,1256.16,1128.65,581.74,795.67,372.83","13094.93,13032.27,13860.02,13565.86,15230.74,13104.51,13459.86,12905.96,13310.41,13336.25,13879.66,13471.38,12441.63,14759.58,14432.75,15180.88,14323.38,12692.93,13368.04,14565.76,13429.72,15333.59,13374.37,13168.18,15260.99,12866.89,13743.76,14876.57,13298.05,12933.36"
13,318572.49,"642.56,439.97,1664.33,715.07,1366.11,1087.44,874.75,404.67,745.95,534.71,584.94,1236.01,725.64,1314.77,150.58,450.53,409.25,1306.74,995.46,981.49,382.46,594.1,195.48,715.43,511.12,414.32,659.9,273.49,492.98,872.05","15700.78,12818.65,12100.09,15457.76,13189.86,14515.5,14797.3,13855.0,16170.24,13781.07,12797.61,15420.91,12434.96,14995.43,14605.49,14176.15,14307.45,12108.04,12908.17,13990.2,12259.83,13307.94,14390.51,14307.82,14919.43,13831.21,13977.35,13268.38,12441.63,13409.28"
14,315748.72,"390.79,357.54,1107.09,1348.64,183.4,328.3,748.37,828.02,1492.26,979.33,976.71,577.27,878.88,1199.46,459.74,488.94,279.15,884.69,666.7,595.83,156.65,287.8,428.99,778.27,1269.31,357.22,776.16,1145.28,1590.52,661.4","14095.3,12962.61,13988.1,13520.19,13213.89,13332.23,13512.13,15030.26,15276.58,13664.83,14104.03,16438.49,12862.95,14289.09,12884.1,12957.78,13523.59,13630.51,13397.16,13229.43,15215.88,13058.48,14783.22,12340.88,13545.57,14223.3,13324.73,14264.73,13578.8,13966.47"
15,319973.09,"1363.27,803.72,887.06,973.16,722.72,1349.17,345.55,1580.05,176.79,1345.33,678.01,739.34,148.07,1346.01,1138.99,101.0,956.55,1583.63,535.69,492.93,632.35,1457.84,284.57,720.69,1123.49,181.98,327.29,1140.43,687.97,356.94","13364.57,12908.35,13548.46,13418.27,14460.48,13642.15,15569.6,13499.08,13382.89,12600.42,13304.37,14132.94,13548.7,14536.01,15280.38,15502.01,13513.17,12922.21,14449.72,13783.78,13126.48,14749.51,14859.55,13901.02,13646.11,14968.03,15541.21,15237.14,12317.82,13837.93"
16,311126.83,"262.0,1311.63,344.05,739.4,325.64,295.1,1621.56,752.28,1254.76,427.09,1474.0,353.53,651.12,720.85,94.99,212.08,834.78,209.03,631.23,793.25,655.21,545.22,1460.38,889.26,1070.24,615.59,683.53,322.01,844.98,492.08","14301.29,12501.21,12169.55,15160.72,14574.13,14544.49,13543.99,13523.54,12256.09,13895.96,12995.42,12744.43,13263.98,14882.8,12418.66,13109.78,12815.69,13066.27,12554.09,14982.89,13771.78,14945.5,15239.55,13854.33,13732.99,14368.36,13715.64,13702.09,12878.75,14068.54"
17,316031.05,"556.83,264.25,593.02,826.77,867.32,890.1,536.86,1383.13,292.08,195.87,586.08,686.63,1550.7,428.99,579.85,586.91,1422.42,1419.18,448.5,710.93,1186.75,900.79,1078.64,486.87,227.6,900.79,1071.78,259.86,765.61,626.5","13455.03,14072.76,14910.58,12840.89,14642.91,12920.73,14304.51,15172.01,12553.85,13108.02,15104.0,12824.21,14460.23,13226.05,15104.42,12571.64,13510.81,13662.47,13904.12,14401.35,12412.6,14516.88,14319.9,13154.94,14519.67,14428.75,13708.47,12957.11,14032.19,13969.46"
18,319855.67,"1420.81,1146.8,221.32,745.91,980.28,656.19,869.16,809.16,872.58,291.38,532.91,392.52,848.67,617.18,441.26,472.04,935.71,282.79,596.37,805.67,368.06,478.0,1011.42,228.35,881.98,520.73,1017.6,1052.45,913.32,125.16","14882.88,12987.17,15222.7,13750.1,12718.67,13921.37,13498.26,13396.3,14757.15,12979.0,14357.44,14864.31,15997.66,13432.1,12910.79,13535.91,12452.82,14809.82,14240.48,14891.2,14675.89,15256.69,14527.22,12262.42,14723.66,13429.72,15271.68,14389.66,13975.82,14377.76"
19,318411.76,"490.25,613.25,1071.69,829.46,710.43,287.17,670.07,1131.11,375.39,194.79,678.31,1033.33,821.33,1011.26,288.75,119.69,597.27,300.02,558.85,242.37,850.28,1223.34,158.08,483.05,1117.32,202.27,287.8,793.76,254.19,1131.52","13673.7,13810.59,15329.53,14601.68,13207.93,13701.39,13757.55,14626.78,15489.96,14084.68,13790.53,13742.34,13506.9,13446.17,13324.41,13948.3,13433.1,13847.54,12095.14,14986.58,14695.5,15664.64,12694.94,14357.55,14668.7,13989.93,15369.05,14420.49,12771.24,14964.38"
20,313090.5,"695.88,213.06,182.66,651.41,884.56,742.22,378.55,1352.72,137.14,294.24,439.09,98.9,149.36,901.53,380.35,976.77,467.35,699.25,738.56,1133.15,335.49,107.9,337.68,712.29,830.77,1340.17,458.04,744.94,987.82,324.4","14418.86,13017.08,14543.81,14573.02,14046.13,14614.41,13502.04,13167.72,14557.65,13267.07,13209.17,12784.24,12831.76,13578.73,14548.21,13426.08,16100.6,15527.22,13360.61,14375.13,14886.18,13684.95,12588.77,14177.02,12077.3,12795.16,15261.87,12867.59,12465.74,13926.17"
