Index,TCOO,Cooling_Cost,Heating_Cost
10,326624.01,"1638.47,1014.71,988.5,446.23,573.48,968.69,568.89,680.67,391.98,1272.65,349.61,643.35,241.0,222.59,688.93,320.38,593.39,1175.1,879.18,994.06,1195.75,715.59,920.57,738.96,108.97,730.95,1121.9,1596.68,266.28,1598.55","15389.76,14220.03,14835.39,16483.2,16941.23,14225.66,14891.78,15537.79,15861.9,15928.19,15036.97,13926.85,15530.62,16198.35,14371.94,15189.11,16462.88,14856.73,14656.61,15517.17,15998.23,16811.56,14332.48,16548.93,15769.51,13905.01,16280.36,15312.25,17366.34,14253.35"
11,321439.21,"1863.99,1362.98,783.32,575.41,1144.88,1281.25,670.67,442.4,258.42,758.82,1055.0,708.43,371.28,1461.91,469.87,1534.32,1208.33,1306.19,518.54,1262.84,1002.45,759.18,152.85,274.06,351.01,1174.9,469.3,1061.64,412.06,536.67","13822.1,16188.25,13681.06,14270.24,17216.42,13840.57,14019.17,14870.44,15356.13,15235.29,15126.2,15715.6,15528.2,15546.86,14276.38,15185.48,14561.24,14714.18,16504.64,16265.93,14457.79,15099.67,16994.46,15727.44,15976.16,14615.34,14634.26,13833.06,13860.56,14780.78"
12,314505.95,"1531.03,662.99,200.55,729.77,532.02,376.82,588.49,296.4,542.49,791.38,697.62,465.75,616.05,322.31,637.67,1458.54,1509.11,464.67,886.67,211.91,869.75,745.59,315.32,923.21,234.35,1168.9,232.74,845.82,276.16,317.67","15514.06,15926.74,15421.73,14312.29,13076.05,16031.85,13301.91,13136.35,15241.57,13799.82,15138.4,14484.32,12986.8,15740.28,15349.24,14268.14,15052.47,15252.56,17816.72,15456.42,17057.59,15068.64,16532.19,14409.12,14616.13,14917.84,14970.87,14873.44,15542.27,13646.67"
13,315659.12,"1036.61,1292.17,128.97,379.9,1583.69,585.12,352.05,611.56,830.1,625.39,728.74,1806.54,350.87,808.88,431.78,527.21,1347.81,1087.08,233.85,1183.29,1835.93,894.31,556.51,776.36,345.43,141.66,697.23,939.59,221.49,375.42","14641.33,14317.16,14155.9,15797.76,14996.29,14050.51,13069.51,16958.8,15081.62,14435.98,14835.47,15977.96,15230.59,15673.54,14973.53,16693.09,14592.56,15436.12,14527.1,15754.4,13258.96,15144.59,14913.48,13710.91,15921.8,13500.76,13619.01,13741.26,15287.14,15067.26"
14,317063.6,"1124.3,462.62,629.93,1183.23,727.29,854.87,129.16,1322.84,124.98,497.71,463.28,669.63,692.47,1000.31,720.84,351.44,1055.02,975.58,246.51,279.92,693.99,1134.69,430.0,480.15,338.33,225.7,1572.46,1458.54,392.05,1264.79","15494.65,16455.31,13632.9,14573.2,14981.22,14289.26,13981.49,14051.15,15553.99,15495.85,14810.01,14412.21,14575.79,14559.3,15395.51,15537.79,15964.14,15904.74,15846.99,15475.32,13014.15,13435.69,17116.04,14316.52,15188.46,17586.59,15185.77,13772.5,13498.72,16615.13"
15,317695.48,"145.26,576.71,950.98,274.06,849.91,571.68,1062.61,647.78,419.23,1188.94,1129.55,533.94,1408.08,577.74,1092.92,793.78,816.03,400.56,1262.52,622.85,1674.37,499.31,588.16,1407.02,496.76,616.15,1107.82,698.32,742.58,905.34","14491.58,16607.53,15814.95,12977.21,16367.58,13264.64,13438.75,17379.07,14214.14,14403.02,15228.84,15845.92,14980.63,15745.05,15081.25,13860.48,15258.98,15563.79,14242.43,15544.18,13285.17,15776.31,14332.02,15924.57,15920.31,13118.98,14189.08,15287.97,13730.75,16387.67"
16,319163.05,"1032.42,1628.72,219.92,1630.42,114.83,1101.45,206.34,1393.03,706.67,496.59,778.16,984.56,519.53,1248.02,1154.87,827.2,210.29,1102.7,301.6,878.88,1284.35,734.43,99.31,249.06,171.13,480.53,803.9,831.8,1328.41,975.57","17068.63,16932.23,15566.74,14441.17,13838.77,13623.05,15456.08,16183.24,13760.75,16169.51,17060.18,13913.05,15930.42,13993.05,14368.28,15374.14,15904.74,14235.27,14315.23,14018.14,15051.02,14299.46,15065.97,13357.35,15157.07,15839.11,13159.56,14094.02,13558.92,14965.51"
17,310468.66,"819.75,573.48,261.02,1408.0,543.37,221.25,679.87,1238.3,1037.61,276.76,928.36,594.43,588.56,573.23,1152.7,299.51,520.16,206.15,1114.75,614.21,507.08,183.34,153.49,370.78,112.33,233.73,525.4,656.07,270.36,716.18","13607.39,14915.17,15674.42,14809.97,14168.56,15448.67,13129.85,14705.65,14563.98,15630.85,16098.49,14829.52,14850.64,14897.79,14410.71,17418.16,14698.88,14893.56,12955.55,14377.87,14608.92,13463.97,14382.21,14493.71,15424.55,14380.3,14266.27,16541.13,14615.94,15051.56"
18,314704.16,"700.97,279.0,343.21,481.3,409.29,1083.17,502.86,151.88,346.96,489.39,1055.35,1323.0,256.95,385.24,200.25,449.77,756.17,235.2,542.49,1065.2,461.33,1133.41,479.37,1239.47,285.25,845.74,422.03,1004.43,183.34,893.32","17920.12,17664.56,16477.46,15478.9,14468.84,16258.8,14365.88,14836.56,13530.13,13650.2,14874.43,15012.26,14103.58,15483.55,15165.27,14005.3,13518.97,14656.11,15906.06,14162.25,14284.89,14266.31,12965.18,15315.47,17340.65,13650.2,14826.71,13882.51,13270.2,13899.94"
19,316385.89,"507.77,914.34,1278.84,983.07,818.81,300.95,612.22,923.55,1134.66,1000.81,733.28,1010.27,842.24,819.95,348.38,809.89,370.71,379.51,1462.36,106.43,176.83,855.4,1014.99,436.58,519.97,1359.32,534.7,817.95,809.34,339.35","14871.29,15998.57,13990.5,14989.73,15182.33,16149.74,14366.51,14590.69,14065.58,15500.28,13494.89,16981.43,14507.49,14748.71,15898.5,14337.37,15935.18,13202.65,16161.26,14471.65,13493.5,15874.16,14380.28,14860.63,14959.36,12944.88,13988.75,16532.53,16358.57,13943.23"
