Index,TCOO,Cooling_Cost,Heating_Cost
0,25480.6,"1148.54,846.66,742.91,569.66,589.25,557.81,1680.73,338.77,1313.21,237.19,633.12,907.57,1105.0,602.82,1608.57,1138.15,505.26,738.47,568.97,152.12,1018.79,794.93,616.09,306.45,444.97,173.59,780.93,316.36,1158.79,1086.9",[]
1,25244.12,"483.91,817.87,390.24,822.06,181.31,1396.33,1027.9,826.09,1046.87,494.93,678.92,1331.03,519.36,787.22,1222.38,694.61,616.93,388.59,1192.34,841.1,563.89,527.08,1371.22,1049.44,574.64,180.71,564.46,1316.81,520.21,416.0",[]
2,21801.61,"556.8,297.7,156.48,883.33,407.85,273.82,475.96,1176.22,180.37,908.54,1064.14,565.63,230.37,200.32,402.19,825.65,1088.63,954.63,114.68,128.57,646.4,503.26,772.81,1335.32,405.26,193.09,1373.45,622.41,1384.32,338.19",[]
3,24403.07,"370.03,699.05,677.7,122.81,1152.96,1115.26,1243.35,484.93,922.5,391.34,864.1,156.85,1262.02,1591.85,137.82,96.57,1327.5,1178.41,971.89,1368.57,152.12,1312.63,665.79,179.92,671.37,707.62,440.63,157.87,706.65,119.73",[]
4,23915.13,"776.76,572.86,1277.18,286.23,922.5,532.65,1049.8,365.25,571.96,773.11,572.86,695.06,631.98,160.86,567.11,1364.75,730.71,1348.35,454.03,797.5,1187.94,537.35,375.2,255.91,451.84,892.88,399.65,262.62,1166.35,723.65",[]
5,23954.63,"611.34,333.91,1128.25,1504.92,606.79,101.42,1071.97,1134.69,302.69,815.84,227.93,875.41,303.95,559.69,1046.6,377.68,695.7,279.49,805.48,1259.36,1272.66,1165.02,751.45,437.15,199.8,953.95,385.67,780.86,292.71,317.27",[]
6,23927.3,"1239.9,504.21,638.26,525.59,328.23,725.72,795.27,692.07,904.7,552.67,405.97,1837.38,176.06,927.69,888.73,440.95,571.96,270.77,541.56,655.16,681.06,785.1,841.91,1005.25,647.63,293.51,607.71,596.92,1161.49,584.28",[]
7,24173.71,"1036.26,650.23,824.42,818.44,473.41,449.01,394.69,581.35,732.95,1251.61,303.93,1593.73,475.62,1156.18,158.09,406.24,995.54,931.99,930.77,371.31,729.15,1022.76,386.03,473.07,650.91,913.17,984.11,369.22,518.76,408.15",[]
8,26284.07,"1087.46,1053.79,571.03,1342.89,428.68,563.4,750.4,1083.73,692.47,392.42,848.76,1383.46,147.64,1475.13,683.93,482.52,1350.71,1515.04,639.62,809.76,771.42,595.46,739.67,328.57,904.08,802.26,1031.91,773.42,317.27,333.52",[]
9,24204.7,"1128.11,390.48,825.65,662.84,552.85,863.33,425.44,631.81,1361.88,954.37,282.65,1210.18,1208.13,306.48,697.94,994.82,507.69,807.0,1010.21,944.99,705.7,381.11,445.72,152.88,823.51,405.97,648.68,839.18,111.74,328.46",[]
