Index,TCOO,Cooling_Cost,Heating_Cost,Energy_Cost_Above_Threshold
1070,24046.7,"1237.49,813.75,936.69,1033.74,968.49,313.71,427.08,235.45,646.9,423.42,814.3,723.94,460.25,1220.13,541.6,958.51,1185.57,395.95,723.53,403.98,795.38,1209.74,602.61,794.43,147.23,335.25,593.81,685.0,543.31,193.82",[],4
1071,21156.85,"541.37,135.08,634.57,1471.8,187.19,715.82,206.51,315.15,505.04,760.36,264.14,156.16,1069.63,990.68,309.83,149.28,704.23,281.22,1037.72,587.71,255.22,1292.63,399.51,378.68,401.35,613.22,481.82,1160.28,821.37,196.02",[],4
1072,24387.19,"632.05,456.51,566.41,1119.79,328.62,1343.71,422.48,149.69,1082.27,766.31,754.85,1345.42,820.51,408.83,370.19,1002.62,547.77,766.39,296.09,797.5,804.62,1261.5,612.39,557.06,481.47,169.7,1593.29,1077.95,1025.07,279.05",[],7
1073,24731.18,"713.84,479.14,679.6,334.55,635.35,638.73,446.93,1534.41,334.4,660.18,889.32,644.78,215.65,144.22,701.23,1220.05,1459.82,429.27,873.37,522.94,140.35,1269.56,1172.53,721.83,1467.69,1429.66,936.81,705.97,793.04,967.8",[],7
1074,21738.31,"402.99,407.63,441.85,393.21,918.62,265.46,582.96,1506.78,490.61,849.43,1029.02,167.24,399.51,583.59,101.49,175.81,341.02,241.21,1293.97,352.63,385.38,400.73,1257.23,460.13,1115.0,861.85,154.53,1299.98,936.09,275.6",[],5
1075,24573.37,"738.94,927.29,876.27,177.64,175.47,1632.6,231.97,930.04,1283.25,1016.25,139.72,933.43,419.19,761.69,474.54,260.78,1250.22,639.95,641.01,270.69,1344.93,201.43,1158.21,758.56,674.38,808.82,1359.1,840.95,371.85,700.24",[],6
1076,24452.64,"447.68,625.48,958.55,707.61,587.94,1354.27,1036.21,229.23,481.77,756.32,753.15,300.58,1462.15,524.12,379.62,191.43,586.69,1020.53,461.47,237.61,1149.8,680.53,1532.81,294.91,1187.71,941.29,1301.05,468.71,410.56,936.69",[],6
1077,23390.92,"639.65,369.67,1308.02,400.3,742.06,930.43,143.91,1477.55,358.37,991.82,563.02,493.73,650.8,596.16,569.13,601.0,670.47,507.82,1240.39,388.6,656.23,619.43,488.19,746.37,1362.37,804.09,385.81,442.5,231.77,439.45",[],4
1078,25845.95,"904.21,1029.96,484.93,808.62,1458.03,599.76,175.11,1123.34,1163.06,796.47,1035.53,743.42,1178.7,532.01,473.16,825.34,874.66,672.37,882.17,497.88,379.85,1125.13,471.65,974.34,443.29,1230.98,275.65,663.56,745.31,696.09",[],6
1079,23870.71,"1092.9,895.35,1161.33,416.68,1002.77,196.04,946.48,149.69,691.66,993.99,780.69,411.61,1213.09,836.77,619.2,1183.98,327.65,216.88,1234.91,522.49,350.57,618.67,1423.13,358.51,258.91,1080.37,273.26,203.62,286.84,102.93",[],7
1080,22703.38,"258.31,844.21,269.51,1428.71,290.2,868.24,388.53,259.56,1089.76,338.12,166.77,334.76,1218.89,1138.13,1111.44,1476.18,1160.15,153.66,347.61,542.02,817.27,501.1,855.4,171.47,112.83,1196.16,722.03,298.57,298.98,166.24",[],8
1081,23539.2,"518.25,616.97,462.03,707.64,854.88,327.46,322.36,194.68,208.9,806.57,658.64,753.4,1316.84,626.79,337.74,1160.83,1073.66,997.5,427.43,855.61,1012.55,248.69,150.0,1183.34,343.38,1253.25,444.13,1496.41,973.01,1024.33",[],6
1082,22421.13,"938.35,624.68,358.37,1231.57,575.67,562.83,441.26,352.1,368.62,87.56,805.49,596.13,693.62,549.29,687.4,700.52,996.46,418.87,279.34,586.46,896.54,933.1,1198.03,123.46,526.04,368.73,611.52,1204.63,195.86,846.71",[],3
1083,26022.48,"1005.76,963.18,519.27,446.81,871.16,408.54,999.23,867.26,1583.7,1836.2,918.6,393.57,492.44,313.4,1157.93,681.85,1066.41,227.37,1170.28,633.76,680.24,137.46,733.05,865.38,586.13,840.94,1045.72,947.78,529.58,778.66",[],5
1084,24292.66,"787.94,791.23,820.59,1215.36,1025.98,678.04,1049.72,777.06,528.23,614.73,142.75,406.59,469.36,663.94,498.06,415.37,1299.98,349.7,761.63,469.78,496.45,692.02,972.0,839.15,500.57,973.44,973.01,420.14,1018.97,526.61",[],2
1085,24583.62,"465.8,1148.69,1158.12,800.97,422.48,446.38,591.34,947.7,298.14,385.58,517.4,489.33,1163.1,283.22,958.55,772.59,667.66,1073.47,1609.09,646.64,585.66,167.35,613.64,699.08,1059.95,939.1,1052.79,173.19,1372.48,703.33",[],7
1086,23069.68,"393.31,460.6,1124.91,161.04,340.29,622.38,840.55,955.31,375.37,1112.19,1212.92,331.13,439.07,201.02,395.69,504.46,123.58,875.69,204.8,659.05,801.27,1632.08,725.84,1077.74,1349.04,196.74,456.02,937.25,1454.72,385.76",[],7
1087,23436.88,"554.97,1120.67,1000.32,252.45,887.42,908.01,556.76,1199.57,951.83,966.63,1020.29,139.78,883.33,301.66,797.84,398.09,584.17,183.07,225.24,1104.37,605.73,529.31,569.89,864.68,559.99,285.7,211.01,241.31,205.24,1188.28",[],4
1088,23578.5,"572.02,883.7,1017.4,330.21,327.85,96.59,480.06,520.32,760.36,1143.28,944.03,1312.59,991.44,669.6,315.6,719.65,820.74,1065.89,392.64,1159.17,213.91,946.96,414.51,369.06,708.91,324.8,604.1,821.37,1262.41,265.5",[],5
1089,24592.88,"729.17,1200.86,803.15,760.27,1104.29,920.45,1069.63,147.18,382.71,293.84,930.04,1583.36,250.03,207.14,1085.24,370.7,134.1,350.51,491.19,928.88,501.22,1158.21,572.99,537.15,1279.78,904.63,280.83,1241.07,1210.11,266.75",[],9
1090,24771.74,"919.37,786.07,1362.37,955.69,385.81,421.99,992.0,775.13,752.02,584.06,548.47,1068.95,855.4,489.11,702.49,867.11,428.35,1066.41,196.18,1251.09,680.24,1115.85,244.08,741.96,482.22,684.88,325.61,554.26,835.74,458.81",[],5
1091,21158.73,"302.87,691.53,1441.65,297.11,227.71,858.72,721.32,659.98,251.61,972.0,1115.4,368.28,256.74,872.71,506.3,296.55,317.75,290.48,108.38,402.99,786.28,253.82,271.21,763.99,433.14,572.52,594.86,559.08,169.61,1021.63",[],2
1092,25901.89,"102.93,481.86,393.87,971.28,654.43,446.81,1526.16,1002.38,1197.34,797.16,846.9,986.89,445.6,521.8,294.17,1565.12,1217.32,1121.75,680.53,1318.55,1358.07,909.15,1610.97,645.12,443.43,602.32,899.98,546.15,265.69,284.9",[],8
1093,25310.3,"832.69,789.19,559.54,688.67,551.97,1008.55,1161.33,248.33,531.95,1141.39,703.33,1288.86,381.6,1341.2,1178.41,392.64,671.93,740.14,672.7,918.95,838.55,724.14,392.64,1144.91,610.94,110.59,881.79,276.46,1596.9,488.19",[],7
1094,23628.52,"1583.36,501.69,927.52,1033.46,540.24,377.73,742.35,826.8,364.12,1117.75,1444.16,715.82,862.01,146.74,523.45,112.5,519.15,396.06,184.35,1062.78,135.1,282.42,748.85,908.99,454.78,1151.63,559.81,154.53,849.36,255.56",[],5
1095,24169.72,"938.44,747.8,267.82,572.76,1209.74,1408.14,1014.46,855.15,440.02,794.95,1157.34,155.89,525.61,873.67,567.73,612.14,855.77,1051.96,1034.63,280.83,883.59,131.16,662.86,497.57,383.91,212.93,554.9,523.45,427.19,765.5",[],3
1096,26345.59,"743.45,525.25,123.2,979.96,310.84,1343.71,1567.72,1259.31,1192.26,339.17,935.46,934.46,396.06,1200.22,1031.29,852.26,89.01,904.38,894.6,1104.51,1163.6,1400.79,358.47,1036.02,540.97,446.84,289.39,512.53,587.66,1415.84",[],9
1097,23108.08,"448.61,883.44,889.98,516.68,164.38,267.1,619.03,385.39,208.14,1326.3,172.23,811.05,660.76,973.98,1028.79,707.57,997.92,347.9,497.73,578.72,403.01,1084.62,753.62,372.45,776.8,672.25,927.49,1220.95,976.7,781.46",[],3
1098,24419.14,"273.26,1460.37,712.56,1562.07,1102.92,1141.22,668.26,747.97,657.8,188.4,326.23,356.9,702.08,733.3,151.61,714.56,653.14,330.53,999.48,321.3,687.52,850.98,419.19,388.29,372.85,963.02,895.1,1392.0,640.54,806.63",[],5
1099,23678.41,"300.73,1023.46,577.86,379.49,447.93,270.56,804.85,553.22,447.38,317.87,649.02,768.39,599.8,1395.23,950.22,702.08,642.45,520.26,683.35,327.53,841.24,286.89,198.02,1297.38,1437.96,824.88,1092.05,1048.72,1682.94,733.89",[],5
1100,24110.28,"802.16,393.78,738.26,1063.87,378.62,459.37,587.3,459.81,619.45,1412.53,956.76,847.75,1291.99,874.99,600.0,312.84,479.14,943.42,569.91,457.55,184.35,835.92,355.05,1533.29,884.64,569.97,856.69,693.81,506.19,480.97",[],4
1101,21749.44,"529.31,877.83,420.26,678.49,878.35,662.77,376.19,559.58,198.97,430.32,558.35,887.97,340.0,211.84,296.55,1100.81,173.54,674.76,244.13,730.96,812.67,635.36,1195.05,813.01,161.53,411.89,313.4,1027.67,1296.91,478.85",[],3
1102,21730.29,"213.91,308.92,430.16,613.71,154.23,591.26,192.01,649.12,131.51,523.45,350.92,854.88,1122.08,754.85,390.47,520.83,937.59,354.21,1204.67,691.53,510.61,563.63,1496.2,843.31,986.21,1205.27,419.13,920.45,640.55,356.11",[],4
1103,22523.6,"433.06,552.27,381.54,857.39,334.55,903.14,488.85,634.42,464.21,311.27,384.58,482.06,544.09,921.11,873.0,495.23,225.17,659.2,349.07,1135.73,757.5,887.42,624.02,842.27,605.01,547.76,929.34,1519.59,1136.95,499.0",[],3
1104,22291.02,"754.1,351.94,1073.47,773.13,591.49,259.9,251.28,260.14,560.25,940.11,602.54,753.9,779.32,192.13,691.66,752.67,1432.94,146.75,560.14,234.93,1304.58,815.65,886.27,950.46,174.27,93.72,1020.23,315.89,508.65,403.76",[],3
1105,21925.41,"375.31,592.7,249.17,1372.48,570.52,544.81,252.6,772.35,856.18,1019.51,972.1,278.37,997.55,507.24,824.7,582.43,812.67,232.07,602.88,235.61,491.48,403.05,870.76,464.37,885.2,633.11,240.44,216.88,211.73,298.57",[],1
1106,21689.03,"977.79,1102.24,1350.06,305.52,219.02,471.65,792.46,591.67,1087.31,377.5,155.37,594.6,341.2,135.08,100.78,717.29,614.9,463.83,174.22,151.29,110.98,1565.43,332.16,668.89,832.66,594.86,216.55,651.86,821.67,555.47",[],4
1107,22903.95,"805.15,406.25,1180.87,103.39,652.0,839.06,325.95,315.97,852.6,707.9,963.11,1128.93,847.08,443.07,1038.93,1213.66,310.12,439.56,448.96,169.7,1106.82,484.18,556.76,455.85,666.83,109.23,666.8,959.81,236.7,644.33",[],4
1108,26742.94,"1269.26,929.78,1251.09,1444.4,1584.5,191.84,140.35,749.14,1410.52,648.97,305.41,450.1,960.67,1265.8,399.39,268.55,226.1,330.27,819.1,1228.93,1526.16,1391.41,1126.99,393.98,836.01,708.91,290.08,968.06,219.02,1116.16",[],11
1109,24539.4,"619.52,1100.84,619.44,1025.13,480.28,266.11,734.43,1085.2,296.97,420.04,194.68,1355.21,479.14,1118.59,1522.94,247.23,479.92,292.91,829.06,372.45,1559.42,671.93,903.45,1526.16,442.49,1283.25,738.67,375.79,736.78,190.72",[],8
1110,24153.86,"669.6,548.72,526.38,603.55,1028.79,651.86,642.95,193.37,487.11,1024.66,746.31,627.06,308.92,865.64,1061.95,748.23,694.45,799.36,597.13,907.06,264.14,1185.86,314.01,1251.55,655.83,1425.4,920.22,717.95,911.71,482.73",[],4
1111,23130.94,"531.85,832.69,510.31,871.35,642.95,895.26,991.97,513.26,379.97,735.34,604.43,1013.15,683.56,103.43,352.1,565.4,419.29,1436.28,901.17,533.2,553.53,550.14,124.45,581.93,1133.37,202.32,943.13,933.1,403.94,646.95",[],2
1112,25223.74,"962.73,883.71,1258.1,222.01,1121.62,484.66,1130.04,739.01,726.35,1016.6,139.78,1413.0,322.77,370.04,563.42,552.66,424.84,325.65,1328.47,615.26,886.85,1255.44,1326.68,913.08,824.76,489.72,1063.91,492.8,258.08,344.44",[],8
1113,21265.13,"186.45,222.24,995.11,207.53,688.54,878.69,143.59,420.57,844.07,480.08,763.73,136.06,297.15,364.49,560.84,697.26,337.71,651.55,845.33,488.19,768.64,1131.23,839.06,787.77,588.77,565.42,761.69,552.45,826.8,736.37",[],1
1114,24834.87,"202.5,1386.66,678.04,611.5,364.02,1045.72,352.63,594.74,1229.53,1104.69,655.44,1042.82,422.14,683.44,718.65,487.45,725.56,1310.03,1013.24,792.46,175.37,1227.84,1405.0,552.66,743.07,605.83,270.36,401.36,349.85,1078.35",[],7
1115,27639.52,"646.58,1135.64,752.02,1459.98,1365.43,693.62,1014.35,283.64,505.31,1265.59,776.66,1176.14,927.49,602.81,557.35,1402.17,317.02,997.57,996.6,1360.26,227.37,733.84,693.17,385.13,937.72,1130.17,1160.15,563.38,666.71,1561.95",[],10
1116,23145.49,"708.89,178.91,807.04,582.81,908.2,429.27,690.98,343.88,1060.67,516.56,1359.49,272.96,727.63,542.04,1371.57,201.09,207.58,863.23,638.05,608.63,800.46,363.32,708.62,1607.48,283.54,463.34,588.08,1099.28,735.96,207.8",[],5
1117,25439.49,"1144.91,112.58,717.31,1341.95,116.29,1070.86,711.2,899.08,860.8,1115.13,1247.63,1309.19,192.27,371.93,145.3,232.32,352.97,1331.76,305.22,1123.13,879.3,359.5,1312.59,732.69,1310.29,534.62,441.96,777.6,972.74,1372.19",[],11
1118,25971.35,"846.76,770.79,1371.04,709.41,1150.68,1425.4,859.73,1018.63,838.71,362.2,157.57,347.23,362.3,929.78,297.94,466.5,900.54,1651.91,1121.21,540.65,408.16,93.77,570.34,630.42,1165.5,763.73,439.32,1049.72,1212.46,1263.65",[],8
1119,22028.1,"432.95,452.59,1049.51,845.48,540.65,152.59,526.21,762.26,310.17,430.79,538.7,347.16,422.48,272.96,759.92,891.31,726.39,501.81,1406.66,721.44,447.57,562.83,686.45,1235.88,476.63,266.89,413.29,731.01,735.52,854.21",[],2
1120,24509.28,"263.81,1372.48,1231.57,1209.68,1587.52,421.58,572.26,471.25,495.07,640.54,204.51,237.15,947.93,142.95,1007.89,676.42,616.69,442.5,597.17,337.71,755.52,204.18,1013.24,1360.53,227.71,1204.45,1028.85,819.16,683.73,766.91",[],6
1121,23189.11,"259.13,239.11,919.67,181.04,444.05,1090.03,554.97,383.85,1210.28,825.28,1049.21,761.94,853.21,796.47,1119.79,808.12,694.82,591.23,418.44,429.27,434.74,118.64,1052.77,961.85,606.4,223.19,943.42,314.48,541.69,1295.96",[],4
1122,20885.61,"93.72,1497.18,450.87,866.51,1008.55,298.94,453.35,153.66,325.61,537.15,244.44,1285.73,215.86,189.47,717.61,486.61,372.54,505.93,125.62,261.53,436.57,349.76,780.82,994.49,414.93,441.63,1084.62,693.48,746.63,270.54",[],3
1123,22776.56,"518.17,194.1,633.2,259.45,371.92,796.47,1027.25,1062.57,599.81,1020.85,588.77,525.25,185.52,416.3,760.27,931.02,284.9,303.03,761.95,701.23,474.01,718.38,1169.76,231.56,1086.18,1461.45,411.85,433.31,543.19,1471.8",[],5
1124,24997.49,"1058.5,326.14,509.24,250.34,1381.06,619.03,242.4,959.81,668.57,500.82,699.15,354.79,1278.23,362.2,721.62,1039.37,935.7,1252.6,909.04,341.02,808.62,885.86,831.28,712.85,1691.72,318.96,713.22,944.48,591.51,1330.07",[],5
1125,23682.35,"506.19,1887.12,394.04,310.3,1066.04,395.13,458.1,1287.11,928.51,625.31,1509.53,1356.15,390.14,590.58,270.75,331.95,225.98,349.01,743.83,1143.28,237.21,469.21,258.31,611.75,562.15,274.82,845.8,265.38,296.07,1008.06",[],6
1126,23616.82,"942.01,585.07,1328.9,865.44,1029.63,631.98,385.17,129.82,1044.54,820.98,627.27,424.95,162.64,749.81,355.88,1495.31,371.36,257.81,642.45,1183.67,1094.34,670.17,870.76,351.57,943.96,409.12,334.55,482.67,222.14,276.87",[],4
1127,20952.24,"298.94,1042.82,212.22,95.9,242.9,976.7,785.74,139.72,415.87,297.14,574.24,141.94,93.62,541.97,659.2,1444.16,293.59,813.77,1133.0,344.06,754.7,1025.13,996.48,228.23,185.87,457.23,1118.4,524.29,634.42,741.96",[],3
1128,21869.12,"288.18,200.77,1163.6,343.85,473.76,881.82,829.52,477.52,369.71,220.44,720.94,464.21,764.38,239.11,680.82,1410.52,520.83,1279.6,1279.76,1011.65,439.31,480.58,484.18,323.96,150.75,395.95,326.28,374.58,353.52,937.72",[],4
1129,22824.97,"917.82,528.1,262.9,483.61,1268.36,1160.29,240.27,699.15,703.63,919.92,1134.61,1372.48,463.08,337.18,182.37,143.49,605.83,654.65,768.98,781.98,350.51,1204.72,309.48,392.33,194.1,245.82,764.05,912.37,235.85,347.55",[],5
1130,25730.56,"557.15,433.39,163.22,1142.91,495.41,1289.79,1302.19,266.58,602.47,1238.74,1103.29,1319.66,446.93,829.29,918.08,1061.32,1007.68,655.83,223.49,102.93,971.68,683.4,1055.74,689.71,794.18,1068.95,642.59,1138.42,1124.22,617.53",[],10
1131,24112.65,"206.03,1119.64,378.62,605.04,722.69,1196.94,1563.29,162.81,615.26,750.18,182.22,967.13,707.28,1117.79,783.53,505.93,613.61,842.51,632.05,829.41,585.66,748.47,240.38,1496.2,391.54,307.73,852.39,499.93,170.85,1355.69",[],6
1132,26125.41,"874.12,1016.25,604.51,273.26,1443.73,1266.43,1465.51,1007.89,1093.85,586.09,157.53,1021.7,696.52,413.05,1104.51,991.97,1261.57,704.1,586.28,635.78,228.98,326.28,765.38,165.68,753.62,379.83,1463.49,1228.96,746.19,145.3",[],8
1133,24539.79,"372.54,1096.03,427.43,128.22,132.15,537.37,1220.13,1047.41,755.52,615.04,805.59,1146.45,1333.83,313.68,672.97,1135.64,225.17,1301.71,561.05,605.53,1296.12,782.49,632.37,445.75,1016.25,1061.38,272.61,903.68,347.61,1130.27",[],9
1134,20358.77,"144.78,973.96,161.12,102.01,564.82,554.37,452.2,744.56,989.42,264.53,329.52,804.62,344.29,206.57,293.62,367.1,431.56,503.76,478.66,638.05,308.5,361.05,758.22,688.67,1167.45,1129.45,413.34,1016.56,858.33,303.63",[],2
1135,25923.95,"491.48,936.81,749.14,769.48,720.2,557.35,537.4,425.44,937.17,1342.66,1178.7,1585.51,401.17,511.65,466.56,1220.32,792.89,737.51,314.48,200.72,1336.29,1154.11,1236.7,892.68,271.74,857.39,1213.01,1010.85,942.15,404.42",[],8
1136,21952.65,"183.21,155.53,260.88,228.1,889.65,509.09,1221.71,894.6,894.24,762.91,665.27,353.46,670.07,162.22,467.75,938.42,1048.72,997.58,292.19,522.49,1022.88,634.21,265.83,463.11,1013.97,657.26,868.16,379.12,552.39,410.97",[],1
1137,27022.17,"245.51,1332.1,1146.69,875.05,1288.41,1070.55,1397.99,994.33,1309.95,690.67,334.4,1265.8,1220.01,493.58,902.2,1266.43,649.85,199.74,268.71,469.36,1299.48,853.21,464.83,544.09,389.39,671.59,503.73,577.41,725.56,976.06",[],10
1138,23274.1,"314.14,1259.54,297.11,989.17,783.61,1141.9,1021.08,794.62,658.68,181.19,89.01,155.89,894.62,1468.72,486.12,92.46,821.65,648.05,1026.82,920.76,301.25,129.72,162.22,1141.22,599.74,290.45,181.19,1593.93,335.14,867.68",[],5
1139,21467.72,"155.37,90.35,1608.68,619.95,258.14,698.49,413.34,853.34,473.76,392.33,1090.24,660.18,599.76,876.05,303.92,599.74,411.7,551.42,487.45,210.19,791.08,290.2,602.61,602.03,641.61,588.77,1030.93,408.41,587.81,320.62",[],2
1140,22929.11,"1243.55,881.36,202.0,373.74,757.44,967.33,305.41,1243.86,683.73,335.89,847.08,971.84,649.63,165.44,554.44,695.13,406.86,745.07,1151.83,262.9,199.74,448.96,1092.05,856.4,772.43,136.02,605.67,522.61,603.57,139.72",[],4
1141,23396.26,"1278.61,441.26,224.24,482.67,1407.5,1037.4,100.19,573.23,760.52,745.62,251.23,261.98,466.34,727.97,859.22,584.17,131.51,613.39,700.15,1035.71,619.52,669.37,995.16,581.93,514.5,916.05,1025.13,1216.96,759.42,395.03",[],3
1142,24441.36,"958.55,1152.32,429.71,1131.63,539.5,1333.42,1351.15,301.67,703.97,378.6,765.78,1225.75,572.66,574.65,220.83,500.02,212.67,369.67,867.26,708.91,758.22,636.33,934.09,408.41,602.92,113.8,193.82,1236.42,1255.44,570.3",[],7
1143,24039.83,"1392.0,472.2,501.69,626.11,523.82,446.31,722.69,824.33,404.85,745.37,1067.31,1304.58,1230.98,102.11,1101.46,1168.62,105.9,398.33,713.84,629.71,134.49,1174.58,1022.73,447.42,228.61,610.87,875.71,215.51,452.0,1133.07",[],8
1144,26042.92,"591.67,1092.33,1589.77,624.57,1051.24,580.72,174.34,1437.29,123.56,342.95,883.29,916.24,474.17,1178.04,854.27,722.13,830.09,711.21,1334.13,1404.76,461.68,1253.61,161.46,351.03,703.33,955.31,743.89,490.13,783.81,1066.41",[],8
1145,24397.44,"358.13,895.74,1258.2,531.81,616.9,146.9,1294.81,725.86,780.68,1349.24,1413.88,208.93,919.92,870.04,298.83,608.35,616.6,683.44,728.28,385.99,310.17,390.14,1317.45,993.19,89.13,637.69,908.32,501.48,620.7,807.04",[],5
1146,23930.34,"175.13,1209.68,1123.35,1219.15,354.15,1115.0,647.58,644.7,772.2,636.38,620.2,386.97,974.62,922.62,706.85,1077.16,222.34,106.36,671.13,807.18,490.74,447.5,786.07,590.58,393.57,838.52,1188.29,347.61,264.14,510.3",[],6
1147,23367.43,"1330.07,696.52,926.99,669.0,664.05,960.19,962.97,177.35,228.61,305.06,693.48,146.08,587.83,761.98,412.88,572.77,709.62,460.16,277.68,1543.08,172.04,860.31,1105.3,797.89,945.49,537.62,875.69,354.15,615.85,466.48",[],3
1148,24953.5,"1402.09,1086.91,927.95,740.96,674.14,584.06,296.55,316.53,109.23,660.18,201.29,1290.44,714.5,640.54,756.17,360.75,1013.01,869.68,1171.24,1146.31,1200.78,476.97,159.18,1116.2,459.54,1477.92,1441.49,579.69,381.8,125.24",[],9
1149,25453.13,"717.63,986.14,950.9,1077.84,662.02,488.92,1537.52,601.95,123.92,969.57,787.83,1082.27,706.73,799.4,406.22,643.94,651.27,753.15,1321.17,845.15,604.58,819.6,772.35,833.22,322.36,1043.36,484.03,925.34,195.4,547.84",[],4
1150,23713.66,"493.02,409.71,418.34,637.43,296.4,724.99,296.01,1405.82,105.85,976.59,298.94,599.98,595.18,787.78,761.41,1118.4,1010.45,1174.29,408.68,1066.66,749.25,921.11,372.45,920.09,239.84,742.06,1147.21,586.13,784.79,1627.52",[],6
1151,22553.71,"579.25,1204.18,604.51,1137.71,306.76,563.63,759.31,883.57,801.37,480.16,1044.01,177.64,265.88,247.19,236.7,365.64,418.44,942.01,463.09,1598.2,107.48,603.57,158.63,800.97,1283.92,364.56,888.61,510.02,343.38,244.66",[],4
1152,25577.03,"737.96,701.41,1020.37,435.83,120.07,333.71,742.06,1395.23,1598.2,793.55,734.83,266.75,1440.4,1174.06,1363.62,366.9,566.52,686.96,647.56,695.43,1472.29,739.96,518.75,890.87,717.9,548.81,556.54,605.07,315.6,1143.01",[],7
1153,23322.08,"1193.9,1009.01,308.11,715.49,1216.96,670.47,1180.87,433.54,110.98,763.41,599.17,470.63,850.86,446.36,466.34,768.48,965.63,1020.57,171.99,172.23,550.92,484.5,228.84,371.92,1540.48,467.78,940.38,509.2,412.14,192.01",[],4
1154,23889.33,"369.06,1228.93,480.08,599.94,1051.96,117.27,1231.77,1129.68,873.22,602.61,944.69,538.47,647.58,1013.15,505.93,475.45,763.41,293.63,385.99,585.17,649.03,804.62,125.28,259.13,1267.49,543.55,849.36,1105.32,199.06,959.81",[],5
1155,22672.51,"1260.57,351.49,164.38,412.88,844.04,446.36,633.5,863.52,239.83,355.49,396.22,483.67,133.65,1104.63,161.53,560.25,827.27,942.25,953.28,1083.09,841.56,1094.34,395.21,1316.84,497.83,575.28,677.88,1503.65,152.59,334.32",[],6
1156,25073.66,"1009.21,1189.52,856.69,717.61,1098.35,413.35,1062.38,1126.43,595.51,427.19,710.67,987.08,1342.3,1143.5,627.42,382.08,311.72,458.29,499.95,764.51,145.3,722.65,325.38,583.98,481.24,643.06,501.48,934.38,1395.39,243.8",[],7
1157,25241.83,"1146.31,464.89,108.38,1656.52,1127.81,194.89,1115.0,362.2,1043.7,966.52,801.26,1321.19,1368.23,469.33,1221.71,617.48,711.92,344.15,553.65,557.15,363.68,367.51,1039.37,682.61,287.29,239.7,763.73,1012.98,664.05,587.3",[],7
1158,25261.04,"598.19,1278.59,899.55,115.88,808.52,1059.78,1437.29,328.05,841.76,378.62,879.3,879.42,97.32,666.71,93.24,903.33,640.44,611.23,1074.06,154.71,937.72,1072.74,1185.57,1599.22,1060.67,579.04,861.4,713.41,439.4,921.78",[],8
1159,25468.41,"721.44,800.97,295.03,673.17,1020.53,1059.55,150.28,521.78,806.57,788.06,1035.99,283.22,280.59,1334.45,1341.95,606.97,876.05,215.51,1507.62,158.33,1436.28,538.72,639.66,505.81,1318.55,999.59,930.04,1400.49,1182.07,548.68",[],8
1160,24827.7,"239.11,1247.43,334.55,335.54,201.09,533.45,251.44,370.38,1316.64,903.45,1024.33,1106.82,257.65,860.38,720.92,930.51,987.64,1887.15,1508.09,342.06,948.04,1092.23,540.2,1116.99,534.2,979.22,665.35,655.83,717.31,431.57",[],7
1161,23140.85,"415.23,1331.32,1496.2,445.26,945.22,120.17,382.3,414.25,756.65,716.08,1353.18,819.27,890.01,93.72,387.06,736.82,250.01,445.83,241.21,498.47,780.05,537.15,960.84,131.16,1441.29,680.95,800.98,306.67,547.87,208.14",[],4
1162,22094.0,"115.88,393.02,754.85,1113.71,742.08,810.3,141.6,812.72,316.53,807.78,816.38,338.25,927.52,177.07,347.23,757.74,265.74,203.62,351.39,385.17,1355.54,341.02,850.79,1478.6,572.76,414.78,715.82,1061.78,393.57,883.8",[],4
1163,23884.44,"1287.4,1109.19,305.52,388.29,490.02,298.57,246.5,1607.48,379.85,865.02,96.81,973.17,925.34,1142.91,369.46,412.98,350.46,1007.68,596.48,333.09,1157.87,1167.22,713.47,367.67,748.1,1069.35,531.78,571.44,369.46,977.46",[],7
1164,25643.27,"945.21,485.22,678.16,797.4,686.63,1165.27,999.45,812.75,1039.44,617.48,736.82,1100.84,1082.63,1045.55,398.17,1070.86,840.55,382.78,123.77,589.44,310.52,950.22,868.68,682.0,451.8,750.87,771.49,793.32,656.28,1450.91",[],5
1165,23000.22,"1381.33,223.34,699.95,853.92,348.46,583.93,1185.73,266.78,87.56,210.48,287.29,683.73,546.11,376.43,698.74,905.28,522.15,1345.55,631.36,636.93,383.61,1331.12,1167.45,1138.69,374.17,733.54,246.62,225.84,1124.44,579.43",[],7
1166,22938.69,"575.45,1223.6,1243.33,484.88,879.06,631.31,695.12,782.54,370.33,146.21,288.75,208.53,472.97,1029.63,287.99,646.95,1512.2,1122.62,100.78,753.46,863.22,326.14,1339.65,274.82,385.39,169.78,713.84,699.12,238.87,336.26",[],5
1167,21523.41,"729.33,390.47,324.93,346.01,1346.09,488.52,735.0,989.42,651.55,93.49,504.46,256.48,508.77,1291.75,647.67,441.65,224.22,288.51,160.71,1444.4,920.29,800.46,829.29,208.88,241.41,222.14,372.95,449.34,419.38,763.73",[],3
1168,21849.28,"579.69,979.11,563.79,132.97,268.14,681.53,666.18,240.52,660.39,528.1,850.74,224.22,1025.26,331.59,640.58,997.04,342.33,1322.5,330.19,761.63,315.34,221.58,1215.36,257.32,738.28,298.5,904.92,99.14,1200.83,754.89",[],3
1169,23627.92,"1101.46,1592.32,704.8,1428.71,388.37,202.5,246.16,279.94,870.76,357.9,634.21,869.32,1150.68,767.72,591.43,272.91,509.43,585.89,407.24,1197.99,992.82,191.59,688.19,789.59,507.71,152.75,550.14,604.45,485.17,442.5",[],5
