Index,TCOO,Cooling_Cost,Heating_Cost
11,298277.74,"337.5,1015.62,1305.42,519.74,366.24,515.67,619.95,1003.27,1175.69,1035.18,1360.03,1046.68,574.03,834.26,444.76,1193.29,340.86,238.18,1184.64,966.79,138.46,147.45,482.43,1015.9,823.8,793.3,1016.69,413.07,413.65,789.93","9074.52,7959.49,8300.51,7763.76,8178.2,7967.98,9588.03,9445.11,8834.29,7770.66,7635.23,8791.71,8863.9,8450.87,9638.91,9076.44,8665.62,8781.09,8111.41,8476.5,8450.24,10442.03,9326.76,8702.88,8408.84,8419.69,7852.99,8356.57,7833.45,8291.5"
12,296216.48,"233.4,571.0,1069.07,586.59,1289.77,739.77,1599.49,107.81,933.97,908.6,482.71,133.91,435.77,1407.34,234.95,1063.91,1123.71,949.06,1068.43,1140.53,450.79,502.7,648.76,421.21,465.18,415.0,302.68,732.97,470.41,148.73","7324.79,9463.74,7839.76,9026.97,9541.49,8565.7,8850.42,9069.57,7488.92,8920.3,8601.69,9194.23,7665.76,8949.02,8779.06,7328.23,7446.23,8705.54,8927.04,8055.65,9053.31,10453.79,7367.08,8589.44,8034.59,8896.97,7798.8,8180.71,7436.03,9278.93"
13,297351.57,"1433.73,761.71,349.95,1153.93,657.11,529.28,477.75,638.77,918.07,448.87,711.82,739.63,598.04,658.51,222.99,1130.79,503.22,535.24,519.09,563.96,1310.33,729.4,545.82,685.21,723.26,473.06,1161.86,709.92,1354.47,95.37","8105.29,8866.33,9483.3,8887.74,7869.06,9487.25,9026.39,9243.22,9109.6,8046.93,8803.41,7990.44,8172.68,8814.91,8267.0,9579.22,7312.43,7526.43,9462.89,7399.49,8729.82,7564.2,9190.27,7575.28,7731.28,9578.43,8617.73,7615.81,9122.01,8367.81"
14,298215.8,"506.17,941.41,152.48,370.69,789.97,699.78,624.99,262.28,304.72,399.77,539.5,224.71,321.46,127.18,236.36,483.62,699.2,411.56,1018.02,1057.8,230.33,545.22,513.09,390.01,617.07,727.8,1365.05,514.94,742.16,1516.9","8969.21,8611.41,8110.19,9802.46,8911.99,8303.88,8579.13,9661.07,9510.85,8137.09,9573.32,8179.6,8125.94,8193.75,8788.38,8765.0,9080.28,8690.06,8794.38,8851.63,7441.98,8997.29,8454.04,9388.93,8021.43,9407.27,9186.9,9089.53,9311.55,8028.78"
15,299126.8,"766.52,973.74,447.36,411.56,130.8,1038.3,393.94,307.77,769.57,351.4,513.5,1281.42,559.45,386.68,674.86,456.88,185.78,304.72,161.15,901.51,957.32,256.63,284.04,668.82,381.78,748.3,708.21,1379.0,644.63,222.21","8459.52,9353.1,8212.19,8287.82,8905.28,9258.59,9330.24,7450.6,8104.83,8244.35,10448.37,7711.35,8552.14,9208.06,9506.5,9537.96,7956.89,9008.49,9367.24,8912.71,9294.14,8213.69,8761.89,9644.29,8679.19,8555.46,9142.91,8397.11,8986.62,8898.41"
16,301101.57,"126.27,1348.84,934.2,424.57,1009.22,613.27,485.44,1337.21,289.45,211.95,553.91,818.6,1410.37,708.21,1104.26,909.01,229.06,636.71,518.18,788.92,1069.36,939.7,524.82,307.47,313.36,359.84,189.05,807.98,693.16,902.58","8589.84,8979.2,8710.48,9179.06,8160.57,9323.13,8111.5,9655.46,8086.11,7984.04,8544.16,8734.05,8320.95,8912.22,8926.62,9003.95,9113.13,8590.91,9561.13,8328.67,8353.09,9651.44,9252.66,9298.76,7489.55,8653.6,9264.88,9180.01,8183.27,9315.78"
17,301286.87,"700.74,892.86,1155.36,1081.6,1245.73,1441.7,955.01,464.13,953.73,1019.64,1272.23,213.0,864.4,517.45,495.19,1081.4,415.8,590.11,310.88,1108.57,286.56,421.21,749.72,410.39,113.5,241.08,147.45,888.41,1381.66,367.47","7955.97,9111.09,9220.63,8453.42,8115.46,7630.93,7884.6,9243.55,8470.33,8598.04,9007.19,9516.93,8346.35,8827.7,8958.83,9672.82,9153.56,8665.35,9117.92,9574.72,8312.28,7966.4,8506.66,9426.35,7296.86,9281.95,8505.02,10064.46,7547.64,9401.59"
18,300345.02,"922.1,253.44,190.94,468.17,325.21,821.35,1378.11,1037.27,834.15,963.42,1015.56,762.11,1509.63,818.16,587.49,415.48,1291.95,693.69,556.77,243.75,495.59,126.16,329.84,365.21,183.63,582.82,605.9,733.1,512.68,234.94","7851.07,9186.9,9086.88,9378.93,8584.61,9914.74,8718.81,8063.35,8105.29,8679.14,8925.6,7817.82,7495.72,7499.25,10073.18,8182.7,8224.22,9119.9,8614.34,9469.56,9400.61,8359.96,9974.57,9308.71,8894.63,8665.35,9308.01,9551.29,8736.94,8526.1"
19,297564.32,"553.2,578.43,253.51,229.47,901.82,185.35,521.48,549.06,1343.27,1083.64,658.92,686.09,712.22,521.55,594.29,358.39,326.72,1009.26,886.42,1187.66,753.7,410.39,825.66,447.47,1268.78,343.63,206.99,573.62,751.41,345.21","9806.64,8774.5,8816.78,8131.87,9267.37,7506.88,9723.78,7808.72,9089.79,9208.33,8801.56,9014.42,7524.8,9060.61,7586.2,7860.87,8100.15,9713.79,8910.5,7998.39,9452.41,8317.05,9470.06,8078.23,8140.68,8547.22,8366.88,8951.71,8471.81,8463.5"
20,297192.13,"679.39,638.26,109.97,815.49,680.97,625.06,535.3,820.6,853.41,671.72,327.46,323.8,1221.01,486.76,602.95,604.84,796.53,499.52,381.32,373.5,606.57,315.35,215.05,404.26,210.43,192.87,295.79,949.91,244.67,1277.49","9303.45,9339.8,8111.52,8070.66,8512.88,8284.73,9233.0,7697.0,9466.88,9304.23,7922.22,8995.23,9214.0,8942.61,8137.45,9068.0,7794.9,8230.95,9273.91,7657.6,8143.69,9535.5,8562.0,8961.31,9173.19,9310.76,8047.78,8839.68,8791.8,9355.39"
21,298215.81,"644.63,334.3,856.82,408.99,1178.58,758.83,743.28,1264.02,464.24,305.79,774.82,511.11,680.69,587.25,708.47,813.38,497.15,631.37,834.32,1011.37,1054.16,722.26,1101.31,753.45,532.55,646.73,412.64,88.1,784.53,598.16","8660.87,8597.86,7318.25,9431.17,9162.06,9097.23,9545.63,9070.35,7552.17,8081.97,8666.23,9007.87,9318.51,8529.08,9056.38,7836.7,8947.63,8869.17,8016.75,9546.3,8069.47,7943.86,8668.13,9435.05,8208.66,9143.44,8156.71,8041.05,8049.58,7869.65"
22,299036.98,"597.32,541.05,746.28,997.89,883.83,1153.93,177.29,499.99,1043.95,816.38,846.26,153.59,1479.35,150.94,404.09,569.66,1083.46,383.78,557.84,1321.85,824.84,1412.04,223.5,221.96,447.15,1401.77,134.49,635.34,1071.5,887.58","8853.75,9018.43,7535.95,8679.19,8270.45,8898.92,8136.54,9714.7,8758.55,7429.18,8769.99,9578.52,8503.6,8854.36,7692.96,8002.39,9173.11,8221.23,8877.96,8777.77,9240.3,8418.08,8115.33,8715.38,8343.08,10179.79,9459.28,7991.66,7983.07,9741.13"
23,299327.79,"447.96,343.15,1024.45,611.19,516.73,800.31,943.91,1343.27,1098.92,522.69,205.65,676.11,1169.62,800.16,712.98,362.55,646.54,588.02,713.8,207.13,289.15,509.41,346.08,92.08,419.55,1005.42,160.01,849.61,302.15,280.96","7758.4,8029.17,8702.28,8849.74,9012.77,9245.96,9607.83,8341.92,9324.06,8565.7,8980.03,7829.46,9399.73,9325.82,7484.71,9056.69,9224.21,9368.67,8966.55,7597.24,8948.91,9033.02,8675.18,9338.43,9274.43,8750.59,8525.36,8606.24,8297.81,8715.77"
24,300018.38,"1013.03,414.13,1479.35,521.89,863.35,217.94,140.69,126.23,169.48,166.29,859.71,479.58,960.32,622.01,1263.03,689.68,579.76,1252.71,956.05,1326.22,1016.0,850.65,863.28,421.21,1121.41,713.85,605.62,653.91,299.31,542.41","9738.51,8479.42,8649.2,8513.13,8686.32,8710.48,8805.34,9314.3,8751.74,7476.21,9472.08,8932.1,7938.36,7642.04,7912.25,8258.11,9335.57,8351.97,9210.51,9086.98,7415.5,9641.74,9001.27,8911.24,7898.17,9385.74,10937.9,8351.97,8035.76,8785.75"
25,300359.5,"740.97,1433.94,648.57,368.81,1099.16,811.91,545.22,842.78,888.59,477.25,497.11,622.89,560.29,307.7,524.26,1065.51,314.03,784.01,191.1,844.18,908.07,728.75,504.0,304.72,386.47,884.84,606.62,473.33,760.77,453.41","9043.81,9772.22,8293.07,8760.64,7876.88,8965.45,9261.57,7420.61,8309.68,8921.34,8680.7,8807.15,8564.97,9241.05,9212.8,9344.3,8003.86,9162.17,8136.83,8574.37,10073.18,8907.05,8867.33,8739.99,9765.61,7377.86,8137.45,8698.74,8972.17,8559.82"
26,299178.69,"944.52,214.39,974.19,228.0,1040.57,1112.42,575.98,551.49,298.92,350.37,1218.23,840.57,785.86,630.63,387.92,268.57,1663.64,889.81,1025.75,456.27,479.21,741.09,1536.03,484.49,859.12,224.27,337.77,284.5,661.14,1143.22","9225.33,8102.94,8846.96,8598.62,10174.96,7540.93,7525.38,9022.69,7669.07,8675.74,9195.94,9125.56,8172.81,9327.2,9175.1,7848.44,8159.98,8002.69,9060.84,8408.47,9033.84,8945.44,9292.04,8970.55,8398.81,7962.35,8923.69,8502.97,10109.5,8244.59"
27,298201.97,"359.88,304.72,601.61,507.9,236.66,112.13,339.87,302.9,413.62,925.67,936.09,476.96,590.38,418.89,814.49,944.14,870.73,619.56,519.92,1062.46,372.98,1045.12,1504.91,1385.58,392.4,831.25,954.57,223.61,160.35,520.43","7936.31,7981.03,8435.39,8612.41,9476.76,8765.29,9669.86,8657.47,8891.46,7829.23,10114.27,9275.08,9086.88,8704.67,8769.99,8338.91,8962.19,8406.38,8104.5,9178.25,9266.69,9334.97,8046.77,9716.4,8401.73,7829.83,9116.62,9073.67,7798.0,7871.42"
28,294831.62,"410.12,879.56,1046.23,87.93,414.66,345.86,347.23,860.9,856.14,707.44,626.23,498.24,526.57,394.83,423.21,536.3,1272.31,773.89,634.96,1048.78,204.9,390.43,508.72,1250.29,1244.82,1039.0,539.15,863.29,631.28,482.77","7376.36,9564.48,7926.94,9056.98,9177.89,9078.8,8239.16,7294.08,9090.49,7995.26,8849.96,7527.54,8394.62,8606.07,9181.04,8673.12,8805.9,9188.8,8572.51,8937.21,8244.59,7863.75,7990.94,8006.19,8063.46,9122.12,9518.72,9171.21,7370.09,8425.16"
29,296430.73,"369.39,393.98,399.77,379.85,819.34,249.16,374.66,966.47,1102.66,699.82,711.69,311.75,1355.39,493.31,236.18,820.35,486.16,571.0,631.45,436.08,443.43,792.22,811.34,474.62,346.88,173.3,524.25,798.09,955.01,814.07","7516.76,8924.5,8620.71,8576.77,8319.42,8805.47,8320.81,9026.83,7659.34,8966.4,9278.98,9179.4,9910.78,8633.52,9344.84,8317.26,8713.27,8901.92,8076.64,9710.02,8606.25,8497.97,8874.18,9692.16,8009.85,7297.36,8386.65,7767.11,7997.1,9389.82"
30,296225.85,"343.99,342.37,1031.4,642.43,215.77,467.22,832.07,463.94,400.62,888.78,253.44,1222.75,1140.17,431.12,716.03,846.51,344.42,627.84,1154.06,469.99,190.18,1143.41,703.73,933.25,465.74,728.85,1073.42,291.17,712.22,1369.66","8728.53,8365.11,9585.48,8012.34,8961.63,9176.22,8787.53,8055.78,7716.99,8561.12,8990.35,9680.05,7591.9,8936.17,8459.0,8853.92,7592.26,7285.37,9023.33,7357.63,7309.67,8980.03,8418.49,8880.64,9521.7,8283.98,9545.19,9066.3,8905.9,8082.22"
31,298651.16,"1497.58,847.01,551.5,95.37,1215.36,638.73,610.27,1220.22,549.61,1302.73,255.61,546.27,815.27,217.1,234.29,254.5,410.45,591.96,1096.48,1035.12,1148.61,514.47,1266.98,197.83,579.76,988.41,367.47,487.54,197.69,830.8","8530.42,8668.61,8229.21,8845.7,7851.24,9420.21,8437.6,8387.53,8398.51,9025.92,8736.78,9051.75,8709.13,8878.67,9144.37,9359.38,8051.85,8534.52,8288.1,8288.1,7334.77,9299.16,9473.74,8325.62,9184.2,8797.28,8265.36,9070.35,8011.3,8640.99"
32,298992.34,"969.9,1066.65,318.21,344.67,740.37,91.81,998.28,430.7,611.93,431.26,560.6,689.97,1366.54,821.39,1019.02,193.63,1010.37,1152.84,343.71,706.03,1094.87,312.99,197.83,915.41,967.45,730.87,849.58,979.03,711.82,1398.13","9018.43,8103.94,8830.95,9299.16,7923.03,9308.46,8626.4,9233.82,8549.74,9713.19,9108.33,9026.0,8932.16,8407.92,9041.16,7978.28,7324.19,9178.36,8785.54,8554.66,8004.55,8526.1,8869.17,8087.85,7543.55,8090.34,8834.92,8684.84,7287.52,8852.13"
