Index,TCOO,Cooling_Cost,Heating_Cost
11,334029.98,"92.3,718.52,569.73,1144.54,741.59,530.38,467.64,489.29,468.57,258.63,834.68,423.4,1496.16,883.03,1251.41,1151.94,1057.85,308.65,444.71,1079.32,1101.4,730.02,249.68,669.6,880.75,651.66,783.81,1109.3,237.68,607.65","14723.21,15913.18,14612.12,16314.3,13555.5,15241.96,14962.32,15473.42,15054.48,13979.67,16194.29,14811.52,14038.95,13425.21,15633.08,13000.68,12494.27,15882.25,15715.54,15634.5,13607.36,14888.55,12875.94,15181.78,14181.61,16117.55,14678.48,14617.02,14566.58,13563.62"
12,330883.86,"387.78,324.24,897.03,215.26,235.06,645.08,858.17,782.87,404.05,661.18,663.36,1229.54,495.56,674.1,630.49,452.17,233.12,1032.91,414.86,290.16,126.02,1003.1,1083.35,252.97,668.95,291.35,429.21,651.44,620.34,550.23","16267.17,15323.43,13987.63,15292.16,13887.19,13767.31,14522.28,14669.6,13001.58,15918.88,15921.02,13950.99,16564.9,14305.23,15461.34,16150.52,14054.69,13192.85,15105.47,14501.64,16179.42,15188.82,14073.42,14580.45,14014.88,13199.56,14240.78,13236.61,14708.94,15212.69"
13,322885.17,"727.25,478.62,274.66,782.7,711.04,748.78,117.28,393.57,351.08,696.45,994.99,378.33,534.68,946.7,403.52,1153.02,403.52,892.85,551.9,238.98,444.91,1353.27,1115.08,775.18,708.17,1421.59,778.09,608.87,377.63,1042.71","16228.18,14097.04,13416.23,14145.84,14495.09,13904.2,13492.76,14836.4,12569.21,14615.1,13301.56,15444.78,14617.37,12810.33,12746.36,15223.95,14348.74,13986.31,13837.02,16022.35,13088.8,14069.38,14213.27,13964.24,14793.91,14102.18,15216.21,15074.35,15927.76,13705.9"
14,329297.06,"759.41,971.11,1408.63,517.19,536.66,776.64,1050.53,964.28,1333.39,1260.66,1430.49,266.54,419.19,684.23,639.28,571.72,256.75,235.47,1115.34,1450.61,201.75,1309.87,938.56,1069.36,1419.53,196.49,525.52,959.24,1102.01,291.42","12855.84,13158.47,14002.18,14830.22,15288.25,14399.02,15167.33,12730.03,14888.87,14008.15,15069.51,14281.57,16000.02,14869.5,15810.63,14948.54,13550.66,14870.29,14021.17,16097.02,13110.01,13860.77,16053.85,12719.2,13854.26,14370.07,14880.84,14945.85,13949.66,13630.35"
15,325097.72,"229.03,783.0,983.9,282.1,1380.03,464.82,209.8,150.69,1414.77,1050.53,961.72,150.89,959.65,393.49,170.43,414.38,583.04,440.43,369.95,879.41,965.54,610.02,598.93,1678.15,436.9,855.46,589.87,547.68,363.45,877.05","12872.75,13984.87,14767.92,14976.36,13730.48,14587.97,15385.28,15151.71,14411.28,14392.06,14264.87,14698.48,14425.87,15731.43,14038.09,13921.77,15863.7,13482.57,15090.43,14652.92,13906.91,12866.2,12520.19,13545.76,13378.17,14813.18,14400.31,14644.01,15415.92,14587.49"
16,326928.99,"1101.38,1548.21,425.55,942.42,204.02,1185.07,428.57,1076.0,899.48,1169.58,723.42,421.54,257.74,554.56,401.35,1010.02,985.29,153.16,716.22,1000.1,481.1,1114.18,407.21,1051.27,1308.89,294.23,650.75,1012.38,1626.01,642.92","14554.23,15324.4,12950.42,14166.99,14289.89,13333.73,15849.82,12996.5,13513.63,14819.09,15800.12,15992.21,13832.7,15368.79,12962.31,13691.3,14558.91,12746.36,14289.15,13545.76,14569.32,14746.33,14265.76,14097.7,14970.76,13258.07,16217.21,14455.38,14911.2,13285.08"
17,317255.9,"203.26,393.57,677.38,531.64,1008.26,710.62,177.78,467.8,533.68,1048.76,338.9,560.39,995.51,1044.22,597.97,989.22,1024.7,898.52,1315.0,942.6,575.87,438.25,1129.38,368.72,838.45,217.33,465.44,409.4,486.37,725.21","14183.74,12426.45,13460.3,14058.08,13170.9,13915.88,13339.85,13890.32,14568.71,13274.36,13513.63,15065.56,14360.67,12490.3,12886.56,12754.05,16643.03,13942.15,14538.56,15344.61,15145.83,14122.25,13262.48,16554.38,12648.56,13889.23,14948.37,14634.29,15348.39,13166.0"
18,324900.76,"382.28,312.84,1133.74,572.09,993.54,190.17,190.12,588.3,656.48,550.0,930.63,391.95,778.98,1117.94,1051.92,455.46,749.7,637.4,1216.31,782.51,525.35,827.92,511.83,1253.57,447.73,729.96,543.67,778.01,460.96,145.53","13484.45,13192.85,13150.5,14064.11,15212.21,15585.63,12893.23,15870.14,15671.16,13354.33,15901.26,14971.37,13135.2,15343.75,15682.86,14187.04,14846.35,13927.77,14563.03,13471.53,14888.87,14972.51,14127.08,12667.57,12886.56,13354.39,14665.74,12798.44,16267.17,15651.23"
19,329233.79,"945.79,614.08,392.96,381.92,780.77,770.61,735.44,471.94,504.47,220.81,95.53,982.95,380.2,598.66,943.6,272.75,329.56,1037.35,399.77,735.99,518.54,466.03,954.3,235.64,1027.3,620.93,139.53,354.71,1465.78,553.86","13870.07,14905.4,14472.0,15892.42,15188.82,13135.52,13908.23,15152.56,15674.97,16670.86,15322.47,15182.36,15712.04,14448.7,14815.21,14751.11,15213.01,12887.65,14736.26,12567.39,13909.99,15166.96,14628.55,14481.46,15201.96,12488.06,14997.58,14046.28,13254.82,13768.12"
20,335405.91,"531.56,357.98,507.08,199.1,482.3,501.76,374.7,831.38,1635.42,606.18,1141.03,888.91,275.06,406.6,866.42,832.98,1360.98,214.7,759.81,288.27,420.54,467.93,759.7,1141.03,873.53,159.7,876.63,194.94,1278.6,1678.15","14033.56,16331.54,13224.21,16591.61,16273.9,14603.68,16492.68,14914.75,15482.02,14064.39,13632.51,13253.81,13229.78,14286.45,14031.92,15443.23,15033.8,13251.12,16071.46,17262.87,14744.24,12858.14,14853.62,14552.89,13598.89,16491.11,15968.23,14615.47,15195.95,14981.16"
