Index,TCOO,Cooling_Cost,Heating_Cost
0,32183.57,"268.78,1063.25,1334.94,278.19,392.95,374.11,101.2,683.78,217.51,544.71,725.97,733.35,528.85,1254.32,583.03,1032.47,577.1,1049.26,982.93,454.54,684.63,404.33,618.53,550.79,1015.09,202.2,1178.47,102.5,202.32,296.21",[]
1,32829.7,"486.84,639.37,608.86,987.33,726.47,662.75,657.35,491.62,494.5,347.83,581.64,853.08,513.36,383.01,657.26,1257.05,376.05,860.23,826.93,707.81,1197.73,484.49,712.44,836.71,802.82,240.78,340.48,331.25,112.68,1382.24",[]
2,33349.25,"887.28,604.19,1125.36,1173.22,586.44,263.44,576.52,531.21,505.08,292.95,1389.58,1242.05,709.21,478.6,361.41,175.21,174.49,759.86,824.78,690.74,775.17,1169.26,85.61,562.26,803.65,1011.52,892.96,265.73,173.76,786.51",[]
3,36241.64,"1331.49,1315.79,812.58,847.27,976.21,301.55,526.17,419.52,682.64,1174.74,524.42,938.03,665.2,1241.34,542.85,608.34,558.74,1184.08,696.31,652.12,788.32,598.9,588.47,1477.88,708.66,441.09,229.61,1344.51,1032.42,1270.24",[]
4,30545.01,"490.47,1040.21,796.79,328.49,856.72,863.03,394.15,131.99,656.12,566.39,854.03,806.25,98.06,292.3,982.63,381.0,704.73,125.67,598.77,479.26,651.38,181.8,323.11,594.0,130.25,591.55,585.29,174.23,328.24,276.02",[]
5,31844.59,"405.61,1419.64,731.55,694.43,502.65,328.49,662.26,294.06,764.08,801.54,280.6,370.21,766.74,664.8,1082.02,279.82,965.73,99.16,262.76,857.69,353.59,766.91,334.59,492.76,568.58,1290.99,224.45,147.67,898.87,336.48",[]
6,34226.33,"307.95,1079.34,818.63,664.31,802.62,687.0,706.42,1300.29,736.95,1287.77,356.62,1235.62,222.13,646.86,1062.96,694.88,1306.91,837.3,291.42,891.61,261.0,414.2,819.58,298.65,581.61,229.61,429.35,227.43,772.49,919.27",[]
7,30438.4,"333.49,331.37,1382.75,776.12,568.34,445.26,544.61,389.18,113.82,751.42,155.58,670.16,324.16,169.99,673.61,248.65,253.95,404.85,463.32,557.02,1032.77,1373.98,517.39,1034.34,277.16,162.27,376.9,786.45,657.26,174.64",[]
8,35244.9,"851.16,764.28,600.89,1062.18,755.08,217.92,1258.91,910.99,281.55,1251.3,908.5,236.26,201.38,198.27,1017.76,479.15,571.48,1441.17,977.25,909.22,729.57,1053.35,667.16,568.06,683.55,604.54,378.45,1513.89,1607.55,873.4",[]
9,34020.1,"476.32,593.86,769.95,673.33,1146.95,233.52,1040.2,761.96,744.09,663.55,337.49,1137.66,188.22,604.75,1315.79,295.92,692.36,740.6,429.19,1021.71,1058.38,348.86,624.77,1203.08,292.98,695.36,737.48,921.95,765.47,1078.12",[]
10,32254.23,"252.25,504.92,448.11,713.96,264.31,998.93,954.88,344.57,1308.62,573.5,1243.02,488.54,910.99,179.92,927.07,120.35,416.11,457.94,313.76,1223.51,1259.02,1144.75,600.89,120.4,539.87,268.5,97.28,501.35,548.33,836.83",[]
11,35657.38,"557.02,1271.44,966.09,854.8,1473.42,667.27,1107.53,828.1,1425.38,168.98,794.83,684.61,463.84,296.09,936.61,892.71,376.15,635.97,105.01,720.17,479.33,1119.51,918.44,103.96,210.9,1451.2,1091.66,885.37,625.28,1105.78",[]
12,33842.46,"1390.02,1088.46,501.42,828.08,250.64,1143.88,175.96,687.27,198.4,673.77,581.83,1207.0,339.28,1298.56,1424.97,533.49,300.2,388.0,927.42,658.59,416.41,392.81,1026.57,1002.85,265.54,300.69,555.66,337.87,698.65,837.02",[]
13,32437.24,"781.07,802.69,458.65,345.46,693.51,702.33,592.99,1001.53,265.37,139.19,404.79,343.57,1260.53,634.08,1243.96,258.02,507.84,887.28,254.6,1191.95,897.46,239.62,427.13,499.27,724.43,231.53,858.58,793.29,548.75,1147.68",[]
14,30912.48,"583.07,214.95,711.51,1217.57,450.08,574.01,295.63,473.94,840.34,305.84,717.5,327.2,258.3,645.75,543.49,954.05,273.38,973.52,652.69,547.51,806.59,234.03,214.38,138.73,1028.58,948.35,161.16,480.67,741.86,166.53",[]
15,34602.83,"226.75,895.65,376.47,1087.55,780.32,612.01,694.47,257.16,402.12,226.58,471.63,1219.58,892.9,1587.13,850.03,973.21,1159.29,710.29,208.52,414.91,573.3,664.31,1107.74,681.89,1386.98,1217.76,1170.78,604.31,388.65,1123.83",[]
16,32258.42,"920.63,1242.62,394.09,115.68,524.48,818.05,492.4,731.58,87.2,607.15,387.59,177.42,630.03,1126.56,105.16,763.58,375.1,424.25,915.63,639.08,972.52,314.17,548.86,1124.01,594.77,605.34,557.63,1461.1,435.2,986.84",[]
17,32336.81,"363.42,341.92,1032.42,210.56,588.4,620.84,1234.05,558.84,269.6,364.68,717.67,1463.81,111.33,426.06,543.68,951.02,734.8,785.14,214.2,844.67,1379.67,470.4,716.56,524.61,438.3,809.56,297.61,1055.82,115.15,829.22",[]
18,30281.05,"218.0,196.11,647.93,140.27,360.44,565.68,585.9,197.01,850.71,1101.31,663.23,234.38,290.58,351.71,1406.84,351.44,899.56,577.07,804.19,430.3,680.22,209.71,383.39,387.59,878.86,666.81,202.99,345.77,936.34,662.65",[]
19,32720.13,"695.83,436.85,602.93,412.11,412.1,641.14,460.24,989.35,753.9,633.38,1063.47,983.52,628.56,365.73,878.33,447.14,453.92,1112.12,634.11,327.38,771.9,795.27,1259.27,429.01,558.14,1253.17,255.97,99.16,415.21,590.79",[]
20,32843.02,"936.74,857.34,456.69,648.89,1254.69,373.96,773.22,1118.33,289.81,501.32,505.33,231.81,492.24,455.75,318.82,1079.4,738.16,519.46,764.04,481.44,788.61,970.86,265.37,418.72,748.32,559.98,1205.37,390.02,875.65,205.98",[]
21,34695.85,"418.24,1530.94,1259.02,174.64,818.05,579.8,262.28,178.8,1206.92,407.39,1178.39,1011.73,374.26,868.8,454.81,105.57,518.95,709.37,1377.93,854.97,344.57,912.68,1018.07,1168.21,1338.93,910.69,765.74,461.43,1092.15,180.93",[]
22,34976.21,"888.39,1364.73,468.12,948.93,275.26,718.88,633.75,1121.89,616.58,430.76,1326.57,643.41,635.99,305.84,598.14,235.22,832.15,878.39,1332.0,1135.77,112.96,330.28,1447.96,1032.42,654.91,468.11,1471.4,290.25,990.31,454.27",[]
23,34759.28,"1392.76,1391.04,1061.83,562.56,218.26,338.84,547.51,1111.13,388.08,536.13,1441.72,191.85,847.33,563.17,288.84,884.73,384.64,1149.59,1013.74,106.74,604.37,811.29,678.45,877.95,842.44,336.54,751.36,953.24,808.91,1005.53",[]
24,33457.38,"291.42,583.33,895.26,995.18,621.52,171.58,969.05,1344.34,912.6,502.65,243.49,912.76,1218.19,194.93,311.72,1229.79,453.08,1141.16,272.62,646.7,847.03,940.93,525.03,846.46,788.68,560.1,412.64,550.87,523.33,272.68",[]
25,32964.39,"772.9,389.1,736.46,960.56,799.81,698.74,1056.72,134.32,909.09,215.86,617.91,855.96,502.0,614.55,337.87,153.87,445.98,1332.32,301.68,107.87,248.95,838.73,942.99,537.96,770.91,1059.76,397.61,1331.78,901.14,1053.35",[]
26,34672.42,"270.98,298.54,488.44,1257.54,452.3,538.86,1357.11,631.9,422.16,842.34,645.75,864.23,483.84,453.36,1451.2,972.35,874.47,890.84,921.64,564.03,1174.74,903.06,1098.5,825.68,529.95,212.99,525.82,1544.92,1057.21,322.97",[]
27,35757.52,"358.22,730.82,578.45,1483.77,794.8,1306.91,776.03,1328.71,400.09,443.26,733.55,1137.62,1028.58,352.08,1171.77,597.1,1180.03,891.37,488.95,666.99,840.78,271.55,1514.85,489.38,1057.06,279.82,633.79,239.23,487.0,1243.02",[]
28,34527.8,"1315.05,1137.62,132.85,1105.78,340.89,716.11,232.89,783.2,592.94,1038.16,253.9,405.16,918.0,1090.34,638.81,732.62,1338.93,581.9,1210.46,549.44,706.42,1219.0,376.54,458.53,825.14,1022.33,642.93,707.63,469.54,234.58",[]
29,31526.21,"220.64,788.32,534.32,201.3,786.51,556.81,339.31,456.31,716.71,1019.44,714.9,1146.08,316.49,411.09,201.08,115.68,321.69,411.14,455.92,764.08,1284.49,501.2,1033.87,630.55,279.87,343.57,314.41,910.39,1325.97,1130.8",[]
30,32125.07,"316.02,593.08,723.29,220.09,705.36,765.74,122.79,939.52,664.26,581.9,921.24,1118.93,244.85,170.37,620.48,1143.43,528.85,329.35,1140.84,396.87,194.91,1055.68,552.17,736.06,379.2,730.02,967.5,392.79,723.29,868.92",[]
31,33179.11,"1057.65,422.78,1202.73,147.43,515.42,1592.73,173.76,498.72,1194.39,710.14,383.54,110.09,948.5,681.46,206.62,388.85,381.23,426.98,1141.89,1054.29,214.0,1267.19,521.62,557.81,652.67,872.46,515.42,395.29,392.81,1297.18",[]
32,32956.72,"440.84,491.85,564.6,413.59,851.22,847.75,510.5,300.2,708.17,152.29,1200.41,134.57,877.24,1168.11,260.41,1297.95,437.93,434.91,449.86,1282.78,1378.79,418.19,697.21,416.16,369.51,223.68,878.86,594.17,1006.91,1638.14",[]
33,32989.9,"93.67,862.78,649.53,274.81,161.28,1082.02,1231.27,616.25,445.65,363.42,843.76,1113.52,471.72,371.13,464.83,700.39,1055.68,580.0,795.27,550.67,179.07,1184.77,419.9,971.29,240.48,1296.54,498.06,948.75,1084.97,902.91",[]
34,31619.98,"772.9,932.46,147.69,468.88,763.12,586.38,744.53,436.28,1033.96,163.97,1027.65,534.66,285.38,539.48,795.08,238.42,232.15,341.95,570.55,451.07,506.82,299.71,1243.84,905.79,181.74,861.99,548.24,1004.53,769.95,334.26",[]
35,34078.91,"1233.47,712.58,104.5,515.04,399.12,591.5,914.46,1342.17,518.12,461.28,103.96,1113.95,614.28,998.32,604.19,1025.86,317.41,983.64,664.02,524.81,1034.58,708.57,616.14,608.46,730.19,387.59,831.36,1025.14,954.05,1135.26",[]
36,32672.3,"579.15,1324.38,294.07,799.86,1264.05,655.89,258.32,421.33,173.19,670.18,515.42,324.71,1053.34,861.97,368.05,280.87,601.31,408.49,903.07,992.77,1111.74,424.17,218.85,559.98,597.63,739.21,419.16,443.12,1067.72,877.39",[]
37,32072.56,"558.74,954.26,418.24,1138.61,1013.35,393.83,551.31,996.73,664.8,1167.66,409.95,232.0,107.87,762.48,313.62,339.83,107.33,194.54,741.86,432.74,396.92,1071.02,135.5,864.29,1524.39,265.36,898.87,248.07,494.39,568.06",[]
38,34015.79,"703.07,152.29,1271.44,860.83,1114.28,911.09,1013.61,866.43,432.85,470.07,920.32,365.73,303.57,691.16,958.96,307.6,709.22,642.19,249.32,314.15,1067.38,129.88,1276.32,1008.85,1291.36,257.64,778.87,182.19,619.13,1235.73",[]
39,34468.21,"1197.36,220.92,605.56,960.92,837.84,195.52,936.88,296.68,573.8,812.58,1175.15,867.85,779.28,91.09,759.38,1342.17,729.57,564.55,296.09,994.44,592.16,1255.64,494.32,232.77,1408.54,292.01,749.93,941.2,1076.44,1025.14",[]
40,33236.06,"301.58,808.87,597.69,342.43,150.26,364.68,854.34,1406.66,168.12,1581.57,744.67,668.6,763.12,192.02,888.84,986.39,277.36,1650.68,979.34,274.97,288.44,817.53,607.15,436.82,138.73,998.01,783.16,1168.2,195.06,1045.13",[]
41,33369.72,"649.44,966.09,400.63,1230.85,695.91,552.05,354.71,1063.85,865.47,482.78,780.42,788.97,358.78,224.58,137.02,936.34,641.17,475.57,699.22,1051.93,226.81,526.77,379.7,981.38,839.41,876.46,557.71,1033.5,732.13,828.3",[]
42,33115.36,"126.78,581.83,468.89,663.9,723.79,1195.16,216.02,225.36,356.94,941.2,368.1,902.21,1206.92,1379.05,704.96,461.12,1037.08,866.21,552.54,1213.96,540.16,88.3,389.1,1419.37,1382.53,595.21,172.45,181.66,133.76,1240.18",[]
43,33719.81,"674.69,935.3,104.8,703.09,1141.16,436.34,938.03,692.46,429.58,269.84,1010.53,867.71,1570.93,538.83,784.39,238.48,431.47,133.91,174.61,965.58,666.81,664.63,1020.24,850.03,726.37,939.96,369.41,1246.37,406.67,1152.39",[]
44,32423.09,"1185.3,550.79,97.53,650.61,922.18,314.86,593.86,441.68,304.88,555.29,980.23,354.94,268.4,791.13,688.55,297.32,371.69,1481.46,706.55,522.73,111.97,1261.47,795.2,1163.21,531.9,833.22,1419.37,386.75,461.43,168.26",[]
45,30653.11,"724.36,771.95,441.18,802.69,358.32,143.04,89.68,342.49,218.26,1340.83,379.44,832.15,124.94,222.61,269.84,283.47,673.77,1143.56,800.66,790.65,233.52,719.72,445.01,408.94,236.65,310.72,591.36,1205.03,1261.61,556.89",[]
46,34541.85,"194.91,1084.13,250.28,1031.69,1315.89,1422.32,358.7,412.1,1056.72,825.32,1168.66,829.14,174.75,248.38,896.91,416.94,648.95,1013.27,814.98,1037.81,1186.7,939.98,964.52,240.48,326.99,415.97,931.94,338.06,580.76,540.24",[]
47,34517.46,"826.62,1146.82,227.51,1244.47,143.29,1328.71,935.28,1371.0,336.48,915.63,903.64,609.83,314.86,382.9,977.08,190.46,750.98,1035.32,1671.2,381.85,1066.8,501.2,560.54,142.7,305.3,700.4,790.3,170.73,391.43,970.86",[]
48,33644.86,"243.51,861.4,1412.54,570.96,575.27,812.48,672.36,693.46,1072.51,488.31,643.67,795.75,311.32,611.3,903.96,330.18,1036.97,785.73,1224.4,1052.38,246.46,521.36,528.73,336.48,235.08,655.34,576.52,115.68,829.14,1286.78",[]
49,33411.71,"1057.21,168.26,335.41,700.4,470.59,429.31,407.72,450.08,1082.59,227.03,602.02,1004.53,941.95,381.21,1085.19,1419.64,159.18,923.94,537.13,1297.64,991.01,240.36,537.24,1289.45,539.52,819.58,916.68,114.43,577.1,1374.55",[]
