"Year","Cooling_EUI","Cooling_Annual_Total"
2007,2.3,1160.01
2021,3.69,1862.97
2017,9.63,4868.62
2001,13.52,6832.23
2003,22.33,11284.98
1995,32.67,16510.71
2020,34.66,17515.24
