"Year","Cooling_Load_Intensity","Cooling_EUI","Cooling_Annual_Total"
2007,0.0,2.16,1090.05
2021,0.0,3.48,1760.44
2017,0.0,9.13,4614.41
2001,0.0,12.9,6520.67
2003,0.0,21.55,10892.36
1995,0.0,31.82,16077.5
2020,0.0,33.95,17153.84
