"Year","Cooling_EUI","Cooling_Annual_Total"
2007,2.04,1033.29
2021,3.37,1702.3
2017,8.63,4360.94
2001,12.1,6115.45
2003,20.47,10346.4
1995,29.83,15074.41
2020,32.58,16465.33
