"Year","Heating_EUI","Heating_Annual_Total"
2023,99.11,50080.87
1995,103.36,52229.52
2018,110.31,55744.19
2019,118.72,59994.09
2012,124.95,63141.97
2011,135.03,68235.69
2010,133.33,67373.82
