"Year","Cooling_Load_Intensity","Cooling_EUI","Cooling_Annual_Total"
2007,0.0,2.06,1041.35
2021,0.0,3.37,1703.55
2017,0.0,8.81,4453.52
2001,0.0,12.46,6297.2
2003,0.0,20.98,10602.79
1995,0.0,30.96,15645.0
2020,0.0,33.54,16948.15
