"Year","Heating_EUI","Heating_Annual_Total"
2023,114.72,57970.44
1995,122.16,61731.36
2018,127.6,64480.99
2019,136.09,68769.56
2012,143.89,72710.04
2011,152.44,77030.71
2010,154.75,78200.05
