Index,Final NPV,Cooling_Savings,Heating_Savings
24,98.45,[],"554.66,716.2,538.65,604.71,598.46,549.91,617.64,597.96,703.48,684.74,624.64,585.17,625.05,549.91,578.14,620.12,625.4,542.72,672.81,561.21,535.95,688.91,568.69,535.76,661.43,715.93,582.19,636.43,570.3,530.94"
25,81.05,[],"563.58,631.94,654.74,605.13,607.31,557.93,521.81,561.49,617.37,524.69,531.37,715.69,668.48,575.0,705.95,658.18,544.31,615.68,655.07,612.41,547.28,573.68,531.8,642.19,560.67,665.59,671.98,677.51,698.0,569.48"
26,737.35,[],"639.91,706.2,570.85,562.39,754.85,552.53,539.08,675.73,578.2,610.28,576.14,701.6,686.61,656.93,610.14,635.54,613.95,654.92,706.03,549.95,644.85,560.06,618.93,680.12,611.68,690.11,728.73,734.6,715.48,745.13"
27,-23.0,[],"665.47,551.79,535.31,579.97,737.41,677.59,575.05,531.24,544.8,559.98,643.59,580.11,554.23,524.47,562.92,595.66,549.53,643.02,571.37,547.05,671.93,599.87,716.29,652.27,655.11,653.96,564.43,562.29,596.8,686.87"
28,427.79,[],"614.62,581.18,544.22,668.59,575.87,679.97,608.3,528.2,650.24,627.31,662.87,630.41,671.87,548.18,708.81,725.67,533.02,579.5,579.64,654.07,610.78,705.95,607.77,658.63,702.87,681.84,564.06,568.86,656.62,646.73"
29,317.09,[],"565.31,562.16,623.37,636.63,613.86,655.53,559.59,629.18,603.63,528.93,739.76,592.72,533.57,713.74,653.12,694.64,543.96,615.68,730.14,644.15,629.4,564.87,647.23,620.54,531.46,626.5,649.49,583.66,634.89,664.87"
30,414.8,[],"572.65,632.54,690.37,561.22,684.59,715.27,623.36,531.32,709.51,582.94,624.94,555.92,548.59,630.91,629.02,669.9,646.48,670.44,647.41,640.47,583.21,582.65,665.33,541.66,624.22,560.71,562.42,609.44,752.66,588.77"
31,121.24,[],"544.46,595.06,542.92,667.84,584.31,530.4,691.56,717.79,729.61,547.66,547.48,547.17,659.24,645.55,709.3,696.11,552.51,610.64,609.63,538.55,653.54,643.38,627.92,602.78,542.45,569.58,523.29,531.6,616.54,613.78"
32,335.69,[],"711.3,619.6,681.52,586.88,732.42,659.38,560.68,532.61,661.43,570.36,561.0,558.31,565.74,561.38,548.64,554.47,672.71,566.86,698.55,634.87,578.8,715.19,699.9,564.61,603.1,598.03,683.55,597.75,650.02,589.58"
33,152.35,[],"628.92,564.91,618.64,538.49,629.78,566.72,546.62,635.59,746.73,560.33,627.46,593.42,737.41,606.72,616.2,538.25,570.05,562.75,522.34,532.8,675.78,568.42,713.33,722.22,647.37,682.92,633.13,643.14,578.41,526.62"
34,-52.57,[],"536.18,520.46,544.87,730.3,630.87,646.72,532.21,676.35,567.15,606.3,659.88,537.81,632.31,649.72,632.18,529.35,624.17,600.46,628.47,600.8,549.8,582.94,548.79,564.56,581.73,545.6,656.9,672.89,640.84,555.62"
35,420.89,[],"657.69,605.57,698.76,663.09,632.71,706.27,562.63,603.82,606.44,665.46,579.29,668.25,703.48,662.74,560.22,664.24,534.74,600.87,632.76,556.24,664.83,613.73,563.28,650.03,524.04,576.78,529.83,578.4,566.94,679.01"
36,185.97,[],"577.16,575.29,597.89,563.26,565.46,708.38,635.1,644.14,618.19,621.94,643.56,668.74,607.9,704.23,549.63,532.68,682.09,541.42,614.95,542.69,567.34,738.16,528.14,603.21,620.94,526.1,707.0,636.17,652.03,572.28"
37,-15.54,[],"539.54,693.06,530.43,680.69,642.97,537.39,619.08,572.09,572.41,590.94,619.66,685.67,539.71,583.17,534.29,570.28,572.35,733.67,584.26,544.19,620.43,651.78,605.99,639.92,520.34,562.65,641.92,534.82,732.08,596.17"
38,-8.79,[],"631.39,655.65,561.15,635.33,638.41,672.21,581.78,613.66,600.8,547.1,633.48,577.27,668.96,536.01,520.84,628.92,534.94,635.59,553.81,552.33,635.38,540.87,543.09,674.12,594.21,545.52,719.73,605.65,570.71,544.43"
39,140.92,[],"714.68,519.56,636.63,589.64,522.98,631.39,566.52,524.84,638.8,707.7,525.77,636.98,735.98,530.92,654.38,544.93,554.99,650.13,637.84,611.54,597.13,706.2,534.51,607.46,574.66,660.49,613.34,743.89,601.3,526.91"
40,304.57,[],"658.2,537.04,591.31,698.12,583.39,615.68,640.48,705.18,613.78,699.56,637.79,543.06,560.8,637.41,610.43,597.85,615.8,537.88,540.59,650.24,652.24,557.4,627.39,560.24,615.24,691.87,586.16,650.42,640.82,636.01"
41,-90.48,[],"723.1,579.92,610.88,554.05,570.57,579.21,573.93,547.26,570.57,597.42,611.62,600.86,546.71,551.26,553.55,576.07,608.4,529.43,572.47,727.84,607.23,649.5,563.28,687.17,579.39,605.52,690.79,606.39,645.13,562.11"
42,377.68,[],"633.0,658.23,644.09,594.84,595.44,601.47,649.17,531.73,676.47,663.6,606.39,521.49,613.49,646.74,522.46,615.15,633.28,673.3,670.91,533.89,800.55,569.21,667.32,578.22,632.61,598.16,596.8,531.5,689.9,691.18"
43,271.04,[],"527.59,609.44,664.98,711.67,654.62,620.27,589.35,540.26,687.38,554.73,686.49,560.24,692.6,615.38,647.25,590.71,676.24,589.05,544.57,528.36,562.69,579.5,581.53,563.11,573.28,748.49,700.73,611.71,670.6,554.2"
44,609.11,[],"689.63,549.98,569.02,731.42,630.53,688.02,606.34,577.55,624.88,705.48,626.27,723.7,628.49,636.77,683.14,622.95,603.72,670.97,606.45,606.62,571.23,589.1,578.59,630.1,600.38,681.4,606.39,634.81,579.29,637.54"
45,133.89,[],"577.04,618.31,575.19,574.14,548.87,733.1,676.26,533.97,617.89,521.44,753.62,553.56,611.4,619.13,567.37,594.01,632.63,633.13,679.4,529.17,605.31,613.35,664.83,646.86,530.13,619.12,602.57,594.56,673.92,583.69"
46,391.25,[],"725.14,649.27,618.9,744.03,648.74,652.97,569.46,647.29,609.98,604.44,659.22,671.81,578.41,542.94,593.12,552.34,670.3,644.01,547.09,532.66,553.55,624.24,568.92,589.08,567.02,597.53,627.74,664.05,573.23,615.36"
47,487.36,[],"592.53,643.48,605.44,725.31,567.66,591.8,568.35,615.54,640.48,564.34,693.5,628.94,566.37,663.48,594.58,590.66,702.98,641.17,629.83,711.72,548.9,673.73,634.59,524.54,595.66,621.72,728.23,708.97,624.41,659.75"
48,201.65,[],"717.89,648.64,539.52,536.18,594.87,579.14,536.35,599.74,604.37,607.24,679.81,715.91,588.09,589.08,613.33,610.16,544.46,556.96,655.23,682.11,637.34,602.57,652.57,640.09,703.92,567.08,611.07,555.49,556.12,655.48"
49,-320.48,[],"585.18,543.84,666.44,566.86,520.34,596.84,568.92,601.72,540.47,545.61,595.76,558.72,576.72,557.48,625.3,619.21,531.12,625.09,583.89,631.28,660.99,623.45,588.17,645.14,559.99,554.95,564.9,653.63,581.78,569.6"
50,350.66,[],"573.21,682.73,642.16,659.58,589.82,671.68,723.91,559.12,520.84,600.94,634.64,562.02,671.05,608.52,581.76,597.93,547.63,671.99,531.42,643.28,585.99,670.05,681.22,633.26,564.06,567.35,605.01,623.92,673.08,697.66"
51,-265.51,[],"523.04,587.66,524.89,554.81,581.76,636.73,649.33,598.57,554.7,564.21,574.72,574.11,717.89,676.62,602.34,524.22,550.59,643.4,566.85,665.57,636.4,661.27,619.71,578.57,528.81,523.75,522.78,630.55,566.6,534.03"
52,-154.76,[],"567.34,519.56,589.29,533.97,539.42,606.34,608.52,573.21,543.95,590.07,540.56,637.45,574.85,620.79,742.25,568.23,648.67,580.16,758.28,665.0,529.2,626.76,563.06,588.63,536.18,611.75,606.9,659.04,681.81,569.48"
53,247.5,[],"530.03,668.62,569.02,756.21,700.87,535.57,530.04,745.39,668.78,559.91,655.36,680.83,613.35,563.71,582.62,621.16,606.56,654.76,600.97,550.71,566.63,556.43,687.09,563.52,567.23,632.54,556.55,601.9,586.23,603.76"
54,38.43,[],"601.1,557.63,549.15,615.08,671.49,537.92,595.84,576.07,633.38,715.11,642.34,582.51,592.59,528.37,526.45,566.04,592.52,600.43,687.17,592.96,589.23,612.25,720.03,597.74,674.57,570.66,735.79,543.22,568.11,605.67"
55,49.84,[],"666.2,545.09,669.61,579.21,629.72,642.38,639.44,617.2,563.87,528.9,541.66,639.85,609.28,613.99,618.01,735.93,551.0,641.11,598.54,560.98,552.81,591.57,645.5,533.9,570.28,563.79,619.99,521.71,665.46,595.79"
56,236.02,[],"571.28,575.17,598.04,561.84,597.05,542.63,577.74,574.01,592.8,694.3,627.16,705.9,537.5,651.18,606.9,711.7,681.03,579.3,591.39,710.01,616.2,667.12,562.09,711.3,709.0,564.8,592.75,592.22,594.9,644.35"
57,274.32,[],"588.03,537.69,659.79,737.4,551.77,565.99,556.09,611.4,595.07,537.4,602.27,687.93,642.09,636.73,599.63,643.7,573.33,593.8,557.04,654.57,698.48,584.95,648.9,643.38,659.84,683.44,661.27,692.23,522.38,649.2"
58,-40.42,[],"548.16,541.28,610.71,573.71,672.04,531.6,633.22,576.36,563.27,564.3,572.5,544.41,696.9,582.39,655.59,619.12,783.58,533.25,639.49,668.33,686.86,581.53,533.25,588.69,643.58,539.09,539.02,585.02,588.0,675.04"
