Index,TCOO,Cooling_Cost,Heating_Cost
0,17173.2,"673.49,783.78,1595.15,1078.43,1567.54,1175.21,222.94,334.44,389.22,1041.24,928.39,929.93,549.04,133.9,574.49,1299.19,1645.35,650.24,550.11,423.16,717.14,1478.92,170.44,804.38,253.55,1146.49,712.22,765.76,1020.6,1791.31",[]
1,14968.16,"999.96,201.92,276.55,765.39,1695.63,1355.03,1449.19,543.14,977.73,159.44,471.24,1151.53,608.58,1052.95,753.47,635.67,388.61,629.22,389.22,351.7,135.72,591.94,670.92,1055.26,1071.19,389.44,1074.37,207.84,642.04,1032.71",[]
2,12329.12,"481.5,574.49,836.3,871.74,573.16,717.41,173.74,168.02,584.14,744.62,858.88,1438.19,571.99,1013.97,511.89,421.96,360.3,490.82,527.44,599.15,325.53,288.45,422.57,881.16,1301.93,150.11,1059.9,676.32,164.72,300.29",[]
3,16901.3,"1404.23,1852.19,745.48,1001.65,1149.61,1373.2,666.54,621.64,1037.3,1377.39,822.63,1051.71,408.3,1373.96,277.05,204.89,454.84,300.67,181.22,1119.21,832.41,902.22,320.68,509.52,262.19,105.5,519.4,882.71,899.1,553.29",[]
4,15697.24,"433.24,333.64,489.83,948.22,876.56,687.04,754.72,944.34,1560.92,138.49,1129.09,853.67,736.94,179.79,356.86,1240.55,621.47,652.75,1436.92,752.44,459.09,680.88,1430.97,1552.31,1140.51,429.11,699.74,694.08,1107.55,651.92",[]
5,14985.17,"636.52,1162.23,339.38,445.21,553.85,1267.05,135.4,1719.94,814.21,579.2,850.92,613.84,330.85,865.42,335.64,1285.5,1046.97,945.26,647.76,510.99,643.67,483.83,1334.66,511.6,483.61,450.05,739.47,849.48,806.61,860.6",[]
6,14674.22,"473.14,900.79,782.21,1016.7,435.75,767.7,663.44,706.71,753.65,560.54,1055.67,729.91,686.46,1004.36,1022.3,351.95,297.88,989.13,360.63,1044.52,227.75,546.51,862.13,411.13,1172.68,1220.55,763.05,1099.79,252.73,673.33",[]
7,13967.19,"639.26,1328.3,222.73,720.67,176.46,552.24,176.46,663.81,1362.73,249.8,680.02,1085.51,729.1,326.74,659.91,1389.41,577.34,969.44,1260.29,259.95,696.37,539.41,409.81,1492.02,295.85,830.08,1015.25,704.04,637.36,330.66",[]
8,15534.43,"589.58,484.75,779.79,505.53,430.45,641.37,902.27,1254.76,928.56,294.24,1231.61,1838.46,594.14,751.68,587.94,786.14,108.61,1230.23,784.4,727.17,398.75,581.67,831.39,870.48,351.37,676.17,899.86,880.62,1419.62,1211.7",[]
9,14241.95,"986.86,392.9,134.0,541.92,417.22,549.55,385.66,990.32,124.54,895.36,1255.06,104.09,779.43,1380.33,1260.09,190.77,1804.87,450.58,179.78,335.64,1150.81,642.82,1024.74,975.11,802.39,406.53,736.9,1057.39,954.22,1209.07",[]
10,15034.76,"844.87,882.88,670.04,1167.63,929.55,190.98,320.32,327.07,1392.45,803.16,794.74,862.67,623.1,993.75,985.23,1219.52,536.18,397.61,112.67,974.5,1053.64,375.5,335.32,768.14,726.77,1173.18,944.34,781.62,590.67,279.88",[]
11,14538.13,"1505.23,442.39,630.33,1057.11,620.29,322.21,326.39,497.41,423.55,1119.21,1334.19,1215.86,432.15,824.06,942.62,1094.33,360.54,367.52,593.89,104.74,107.42,193.74,747.67,969.24,1108.96,741.86,1911.58,436.38,98.34,838.18",[]
12,16274.09,"1235.26,724.28,975.73,915.73,652.75,389.11,200.22,1505.92,1442.89,1018.93,1068.23,1686.3,170.88,908.58,612.95,120.91,431.34,1390.93,210.19,204.56,1133.29,315.61,294.24,1189.28,661.91,853.64,1320.69,741.98,772.86,458.22",[]
13,12536.92,"881.16,713.83,1098.54,577.02,446.87,746.39,539.35,629.36,414.74,131.25,161.12,1327.69,457.56,960.34,977.46,926.32,643.3,1069.93,224.33,612.77,274.12,560.54,1424.85,181.3,303.41,402.96,241.99,261.97,474.13,176.98",[]
14,12580.18,"228.53,1436.92,1032.47,381.71,410.02,796.48,893.11,329.85,297.42,947.77,840.93,695.02,614.06,370.06,311.6,603.45,946.82,523.77,649.96,111.49,273.63,648.69,113.54,236.21,631.43,856.08,1094.33,497.89,757.31,914.43",[]
15,16583.63,"529.94,296.07,1379.21,725.55,917.7,789.77,1580.27,1588.34,1152.03,317.02,631.88,431.79,599.97,713.01,599.97,1417.68,499.33,753.24,459.68,921.72,1009.88,398.64,1641.05,411.08,890.39,929.0,330.66,798.66,1207.7,518.61",[]
16,14181.03,"401.42,518.73,144.63,1739.93,636.17,443.91,863.27,465.85,389.06,773.92,1091.24,708.3,494.55,1484.39,459.09,405.32,399.3,1066.48,935.39,159.44,1336.64,893.06,901.13,367.18,856.99,349.59,353.43,1671.08,469.24,545.43",[]
17,13541.95,"1127.56,392.44,832.64,368.92,919.06,414.71,158.61,192.91,420.9,564.73,986.86,695.06,1372.73,899.92,390.15,677.64,780.32,441.67,259.96,971.0,1570.0,724.28,1465.73,249.8,1068.75,134.5,227.45,234.3,403.84,1388.97",[]
18,14205.2,"513.97,303.85,326.44,426.69,725.64,544.66,1530.81,1214.02,1838.46,986.86,813.5,385.22,115.64,928.31,1013.59,439.08,390.51,429.57,877.86,434.85,642.89,837.02,435.76,907.01,747.32,511.84,1419.85,485.22,369.5,348.19",[]
19,13510.36,"1406.36,266.56,384.01,603.45,1308.81,360.59,450.3,762.05,1016.59,732.42,963.71,581.46,857.76,135.96,608.73,452.83,781.84,692.33,790.0,372.65,1069.85,726.74,299.2,826.34,175.95,350.93,577.46,536.44,264.43,1302.13",[]
20,15357.52,"378.38,1570.34,252.73,1241.19,735.19,668.63,1095.92,657.76,899.79,768.78,487.22,893.44,1123.09,1574.08,862.35,238.93,610.66,418.06,638.55,741.11,1054.77,456.04,638.26,580.05,144.45,193.24,1125.32,406.38,872.03,873.56",[]
21,15730.35,"566.7,832.64,1488.04,735.29,450.55,1137.26,1355.03,930.34,642.73,316.97,474.95,386.05,783.61,451.01,458.08,945.58,776.03,955.69,483.46,1006.69,222.34,456.88,819.71,270.24,1356.35,1191.14,884.37,636.7,1199.02,1291.01",[]
22,15012.73,"517.46,941.3,649.34,515.78,747.04,934.38,768.58,1210.18,542.11,279.88,957.64,929.54,594.43,994.72,1112.1,753.47,706.02,167.71,974.67,301.65,1039.09,636.16,190.77,757.16,1225.25,934.65,690.28,752.44,656.07,893.26",[]
23,15426.78,"134.0,1174.92,376.03,1068.36,922.82,1105.55,1270.73,644.9,1293.23,718.15,272.85,1284.84,495.27,432.21,760.88,1205.8,1265.55,877.42,750.18,1120.05,208.13,381.41,116.13,399.96,435.24,1065.88,663.51,445.35,469.38,984.29",[]
24,16142.56,"1310.43,915.17,783.78,663.44,1689.08,737.45,333.76,728.92,427.68,427.79,446.63,682.37,1115.03,1039.09,1052.83,226.35,728.53,802.43,405.44,833.69,598.94,532.44,1441.91,1167.99,1494.21,283.5,863.27,1073.87,527.07,393.77",[]
25,13786.98,"392.45,1293.9,622.87,613.0,1087.52,1127.05,460.33,728.24,876.3,524.72,888.75,300.67,1495.06,1111.8,170.88,433.55,958.69,898.1,238.7,906.54,316.94,485.22,249.15,196.94,424.35,704.05,317.25,652.34,655.58,396.61",[]
26,15672.12,"267.39,746.23,664.54,266.33,1238.84,1263.19,469.89,714.59,217.9,1527.54,847.17,1628.1,367.18,164.53,921.96,959.95,839.46,1010.62,212.91,475.4,1419.85,1302.21,330.44,294.65,925.19,1496.91,1097.42,433.92,781.79,815.54",[]
27,14789.21,"238.7,1162.43,222.82,654.33,792.88,611.86,509.52,461.18,1224.91,459.34,1355.03,391.48,1260.29,1184.92,677.41,1504.34,438.64,761.96,641.29,1467.94,201.04,251.49,354.88,307.54,1144.96,1460.66,318.01,807.43,571.37,724.78",[]
28,17191.8,"605.02,1210.04,1377.9,180.35,1183.87,347.42,1227.51,1261.41,1238.14,723.53,813.63,1139.03,1254.11,716.64,1331.63,1636.57,355.02,336.69,474.88,368.69,162.15,668.8,1052.95,1320.22,472.26,912.2,750.41,212.45,731.35,639.0",[]
29,16024.26,"688.16,581.73,545.11,1125.51,890.57,129.22,984.12,255.52,1430.97,669.19,1326.76,1477.64,880.26,703.77,844.92,725.1,1292.17,925.8,266.07,477.27,143.41,399.96,870.52,1177.26,920.91,325.34,455.36,1332.03,936.66,1195.48",[]
30,14071.54,"868.01,672.63,1083.19,280.12,645.92,677.93,718.78,653.63,755.06,225.76,547.23,432.35,1306.63,848.98,948.06,1410.85,221.53,483.61,978.8,142.26,995.13,696.87,423.72,1348.01,515.73,317.25,97.69,925.75,940.54,637.88",[]
31,13412.47,"869.0,343.0,532.93,214.27,427.68,1493.86,291.7,1225.37,863.16,729.32,701.41,903.22,1058.62,581.67,389.01,724.65,869.7,1129.86,1085.06,210.43,410.46,382.29,116.13,341.15,945.46,291.06,491.77,682.78,581.56,669.93",[]
32,13472.83,"1120.96,513.43,506.68,1602.95,217.79,726.72,542.49,299.18,504.96,397.84,252.85,743.31,823.37,1521.65,557.15,853.64,366.55,676.93,944.57,367.52,390.83,291.18,1602.95,403.62,161.19,393.85,1364.78,906.67,237.25,480.3",[]
33,15046.67,"915.14,1453.94,1332.03,394.51,822.61,1181.73,359.29,128.42,584.29,786.22,863.66,424.15,396.67,427.61,1107.82,467.49,519.84,1226.07,373.99,211.03,359.57,1110.58,305.88,1790.57,440.85,577.61,662.71,1167.99,1189.41,515.08",[]
34,17437.96,"334.11,807.43,1633.78,367.94,950.37,927.04,1457.82,1113.08,724.46,380.49,668.04,1100.3,1429.32,779.51,1246.97,815.54,1357.28,928.17,497.63,1210.32,977.2,244.97,811.28,652.45,1097.18,729.97,579.56,667.3,319.85,524.65",[]
35,15112.31,"921.82,1005.72,196.17,902.9,621.91,495.18,212.23,483.38,1119.5,1496.91,591.44,1043.5,672.54,657.37,860.94,1047.22,594.79,284.11,534.68,706.32,1350.35,199.36,437.96,182.58,1193.89,1120.96,1414.47,1065.92,1186.55,128.19",[]
36,14811.68,"677.44,627.11,883.14,1186.55,1243.36,792.65,731.35,1000.34,219.61,246.63,694.7,371.18,196.66,856.98,396.96,609.4,927.23,1650.85,153.32,334.96,484.75,1490.61,891.67,571.85,1169.03,1348.23,1222.95,178.2,105.39,648.98",[]
37,12879.83,"853.4,551.77,847.17,539.7,614.08,492.43,295.24,152.5,396.8,657.67,1282.23,395.28,591.44,417.49,610.58,786.43,1519.36,228.71,514.09,502.69,936.22,585.03,783.78,294.6,416.69,641.29,1600.52,534.9,1068.23,391.24",[]
38,14404.23,"1052.19,1426.48,190.03,948.36,1004.06,601.28,987.49,1315.01,397.31,290.82,454.86,634.15,547.08,1024.74,680.41,1388.97,850.54,849.12,593.16,254.01,850.42,246.04,230.83,325.96,879.21,1000.07,522.52,269.74,133.47,233.62",[]
39,12344.15,"487.05,170.02,629.57,369.0,1189.41,637.75,1527.92,317.34,539.55,107.42,355.76,892.18,746.23,333.92,727.63,550.37,620.37,1221.06,691.92,438.98,724.6,434.85,386.09,544.66,220.38,370.92,866.28,450.58,967.83,957.06",[]
40,16766.5,"757.32,1122.02,394.59,314.97,1203.98,1629.93,447.89,342.34,1589.02,821.15,1385.25,553.07,1724.6,928.94,1299.19,375.97,553.99,958.37,857.49,789.77,734.87,584.14,420.9,577.61,921.74,642.82,635.46,453.92,518.73,649.28",[]
41,15284.67,"417.91,555.34,1017.84,378.29,455.96,1203.98,1524.04,382.64,653.32,375.26,740.99,1097.77,1145.73,851.84,956.19,772.87,626.9,670.93,595.9,1552.77,545.06,630.39,872.39,619.29,863.16,439.1,1032.1,599.73,390.69,790.98",[]
42,13830.54,"459.79,362.2,741.07,569.81,185.49,386.26,1513.11,487.35,682.02,449.09,724.6,936.32,584.82,611.29,670.93,703.53,712.72,927.59,1005.58,646.38,1217.34,1029.73,927.23,1223.81,238.49,454.5,1321.23,696.18,498.62,102.09",[]
43,15440.05,"978.0,579.2,184.44,677.51,1123.96,614.06,620.16,1027.89,1001.65,616.22,1025.68,1097.77,249.71,1169.03,1463.51,484.43,484.11,371.29,815.54,427.47,1500.13,897.72,668.04,425.42,1007.58,241.51,1067.14,538.64,1167.91,396.29",[]
44,15055.4,"966.23,379.58,648.16,301.45,690.03,1253.22,631.63,639.6,936.77,1089.03,1113.36,671.58,897.61,713.27,331.56,846.4,366.61,455.69,835.73,373.03,1334.66,1421.7,367.52,575.78,281.21,169.72,323.42,1253.72,1355.03,1424.79",[]
45,16632.8,"574.65,816.27,1327.55,1852.19,1398.23,1017.32,388.41,916.16,680.12,438.36,1484.9,657.53,576.52,311.94,1226.58,245.68,1594.37,182.58,902.9,623.1,1333.38,396.38,876.62,532.57,304.27,285.04,222.17,900.98,354.1,1115.69",[]
46,15302.83,"1464.16,627.65,841.18,444.3,1058.65,448.74,513.43,707.3,1442.89,471.32,1084.27,483.83,808.12,1156.03,650.56,989.73,1325.11,797.83,219.48,1013.38,501.13,411.39,471.32,381.89,311.1,577.91,448.88,969.05,1089.55,278.13",[]
47,16586.17,"137.69,952.98,1348.95,1496.91,544.8,727.23,365.74,920.04,498.63,1617.86,1380.33,558.77,670.04,292.88,871.62,1415.6,1104.74,1094.81,806.04,927.27,266.39,824.2,825.41,241.51,591.94,321.41,766.9,1362.73,820.45,538.12",[]
48,14878.92,"334.86,439.86,689.71,1050.77,332.83,547.08,832.41,109.25,903.59,859.12,1122.22,731.35,955.23,548.77,1301.02,308.73,1008.06,887.66,433.13,502.6,109.07,878.52,609.21,1023.26,1481.14,1513.71,1122.62,1101.62,875.53,444.3",[]
49,15819.79,"749.33,791.16,671.58,923.72,1489.55,1495.06,763.55,1011.46,810.96,609.08,264.97,195.58,899.1,877.91,1296.94,491.45,823.37,371.01,929.93,398.75,1521.93,379.58,395.29,143.41,567.61,605.5,893.11,758.39,741.98,983.02",[]
50,13487.49,"1055.93,416.79,109.07,355.76,429.57,711.65,488.85,793.11,628.87,1020.36,431.43,689.24,388.61,1191.69,1119.5,802.78,569.43,1070.84,1398.23,957.29,215.72,622.37,598.96,834.39,878.82,945.32,293.65,111.53,333.57,793.11",[]
51,14219.37,"619.82,229.86,949.38,844.97,324.15,214.19,422.22,774.04,1241.3,342.54,697.72,342.93,855.01,591.54,1360.11,553.69,105.55,990.47,1358.66,949.74,1126.23,666.88,1264.22,536.67,193.74,747.74,363.71,1089.65,806.96,1421.66",[]
52,14868.55,"1118.79,1019.82,200.95,462.45,591.97,951.24,605.73,347.42,1019.64,743.89,446.08,562.05,1103.99,1254.76,1126.34,757.04,1022.3,639.0,502.46,150.04,729.12,713.48,1442.35,266.07,358.89,1615.92,398.44,395.11,599.07,910.73",[]
53,14402.65,"355.72,588.61,1405.16,315.56,1550.65,771.38,514.96,399.61,1189.41,1154.06,298.8,1086.22,155.33,321.41,811.94,895.7,551.77,765.16,958.03,580.61,1025.6,872.51,1002.64,667.78,473.14,362.77,802.0,514.2,155.69,274.12",[]
54,14897.15,"1273.49,668.8,313.08,525.12,1333.3,225.46,233.74,1276.43,702.9,869.71,362.39,459.34,399.72,1233.31,1527.54,700.19,178.26,912.2,1631.78,586.44,325.48,1522.98,1328.3,456.98,157.59,406.41,751.84,335.62,832.33,397.84",[]
55,14620.53,"266.39,1167.56,319.73,151.27,1146.49,914.86,677.51,793.02,773.34,465.85,743.24,791.47,261.12,1105.22,625.1,1053.76,685.66,626.09,685.71,1092.41,1038.42,166.2,152.5,496.42,230.42,1407.07,300.67,1654.68,1144.56,1521.93",[]
56,12144.11,"635.31,163.34,823.37,479.63,369.97,286.57,558.7,931.07,252.37,856.93,402.95,401.61,393.56,703.7,665.05,786.7,1468.58,201.92,1055.26,214.96,1122.02,347.45,307.15,347.84,984.75,370.74,958.48,556.28,1356.49,742.15",[]
57,15310.59,"632.15,1057.39,770.36,647.29,278.33,698.22,724.64,811.53,1496.56,100.01,1469.54,998.28,233.32,726.78,327.36,863.66,341.12,1190.6,604.57,1333.3,1629.47,629.96,509.41,319.73,358.54,973.59,457.05,291.01,767.86,1597.76",[]
58,14834.4,"1267.05,238.44,1008.35,553.07,448.73,626.19,331.3,768.13,890.57,1287.07,926.74,1144.84,826.72,709.61,480.99,722.89,400.18,595.0,687.74,1204.37,418.72,593.75,359.53,835.58,1004.35,956.35,319.69,893.06,1235.81,197.47",[]
59,13714.76,"242.46,654.15,304.27,570.7,626.14,147.56,1618.91,1430.37,514.15,1000.34,338.7,575.05,1456.65,894.41,156.68,754.02,369.47,334.48,288.71,750.9,1038.43,274.93,803.36,751.97,1153.22,869.19,105.5,1028.89,1294.88,361.61",[]
60,15329.52,"544.81,270.24,816.27,171.91,169.44,112.59,1852.19,971.0,280.37,1390.17,304.86,525.39,735.32,1006.93,272.69,1300.6,767.29,1004.68,162.38,1143.16,1088.16,886.88,1160.79,1172.55,1272.34,859.61,1114.78,202.84,1581.02,1059.01",[]
61,13815.94,"900.25,1095.2,254.77,984.28,342.34,207.38,1113.22,481.13,414.75,665.55,432.66,1078.43,393.17,735.53,876.0,464.72,333.57,643.32,830.87,459.79,1142.45,772.93,825.35,1319.76,401.61,1321.23,381.41,810.35,767.92,263.06",[]
62,14241.77,"553.99,313.06,439.35,577.1,217.79,673.74,113.41,480.06,1716.63,1331.66,906.0,1202.13,201.17,1132.19,1059.54,460.89,1183.13,705.72,564.58,630.39,649.31,562.05,146.79,923.9,1049.9,368.46,876.62,195.44,1832.97,718.87",[]
63,13725.99,"893.44,677.42,737.13,1104.2,437.71,389.11,666.57,190.08,768.35,330.73,1528.24,449.74,144.71,694.44,1203.41,442.22,999.93,1275.14,334.48,646.49,966.23,419.56,1032.04,353.62,177.03,1168.49,844.97,172.05,341.52,835.52",[]
