Index,Final NPV,Cooling_Savings,Heating_Savings
12,-9115.99,"9.92,21.22,8.46,15.62,20.01,14.66,27.27,25.65,16.52,26.23,26.15,23.69,25.65,26.15,24.35,28.25,32.38,30.78,6.03,16.06,15.15,17.52,23.24,22.71,25.68,8.73,29.54,16.5,32.34,23.6","648.87,657.66,629.7,658.79,611.83,563.86,649.39,577.72,573.21,662.11,614.32,600.05,537.95,645.08,566.6,566.01,700.91,577.68,712.8,641.67,652.34,607.73,546.36,630.87,569.36,618.12,627.81,678.42,596.27,553.91"
13,-9375.27,"28.7,28.35,30.39,35.62,29.01,17.14,19.81,34.86,15.7,11.2,10.88,35.86,18.3,19.31,14.78,24.95,21.36,16.91,13.46,33.66,33.35,19.96,27.63,10.07,24.71,22.6,32.04,23.51,34.15,28.19","546.82,689.82,565.39,541.46,645.9,586.36,533.03,674.4,706.19,619.08,573.0,637.47,642.09,597.73,603.82,585.94,593.08,635.06,600.77,566.81,569.17,655.01,606.53,537.08,542.23,580.38,525.51,566.89,696.11,560.18"
14,-9284.68,"28.45,21.45,14.23,34.13,12.87,22.8,29.21,29.66,18.76,33.27,34.8,20.24,18.49,26.9,25.99,30.08,31.68,24.59,29.09,9.83,28.46,14.94,29.9,29.13,25.02,26.07,23.16,28.42,13.51,26.33","554.89,637.38,580.24,555.43,625.0,563.86,609.87,609.33,534.54,563.36,657.41,577.72,687.57,625.75,709.92,624.28,645.6,663.19,563.42,640.47,646.22,521.47,540.92,551.38,638.33,644.15,624.51,586.95,675.52,545.93"
15,-9392.05,"29.13,27.5,13.62,28.94,23.6,24.69,35.11,15.52,29.36,23.43,32.4,22.62,7.83,17.87,27.15,7.28,27.1,29.31,18.4,31.98,17.31,27.92,22.59,19.38,34.94,25.31,28.6,22.32,12.05,30.97","534.51,547.27,550.09,737.29,553.14,696.02,570.39,543.69,575.65,606.01,536.99,598.02,621.33,639.77,643.81,672.66,532.51,555.57,642.85,621.68,655.21,522.6,543.87,587.09,639.19,598.96,650.5,582.43,676.56,687.61"
16,-9402.13,"17.75,24.08,26.54,33.55,18.9,24.25,13.83,29.4,22.05,32.11,26.25,32.8,35.75,33.64,24.47,19.5,31.91,30.3,16.83,21.72,27.55,23.79,27.75,29.46,33.7,18.51,24.22,23.06,29.4,36.73","634.51,687.46,532.95,562.4,529.05,577.3,556.23,619.03,619.54,558.75,644.53,586.37,569.13,569.62,623.53,558.36,590.95,681.76,690.07,576.61,732.54,557.61,630.08,579.27,624.79,547.76,557.0,627.72,539.73,591.44"
17,-9592.08,"12.73,17.96,16.16,34.43,7.61,14.18,13.72,31.71,17.89,34.76,20.48,29.95,32.53,31.79,19.0,31.28,22.55,14.29,34.57,18.76,14.18,10.26,34.09,38.29,30.08,28.48,21.45,38.43,25.94,35.35","639.63,536.26,552.87,540.48,617.37,564.52,550.35,551.8,627.39,535.08,639.77,685.19,590.22,667.01,530.34,550.23,639.82,546.67,649.26,575.96,524.68,568.19,606.39,669.7,646.18,574.04,640.39,553.18,534.23,713.89"
18,-9047.53,"30.94,20.11,22.0,10.1,18.97,23.86,9.58,26.35,14.37,29.38,16.44,26.52,13.2,15.34,29.08,27.74,12.63,24.96,19.27,27.76,34.19,32.05,15.77,22.11,31.82,20.24,22.13,28.23,36.48,25.91","553.85,562.4,547.66,609.41,621.39,613.02,719.63,722.8,623.99,624.28,606.67,631.55,533.65,715.63,603.17,669.84,526.39,623.7,649.29,604.05,658.55,521.72,768.94,614.0,554.42,629.44,582.8,635.28,590.19,737.63"
19,-9337.5,"18.88,13.95,33.1,33.29,18.58,15.51,22.56,15.11,25.55,38.05,7.39,21.97,34.34,18.65,29.11,29.33,32.41,18.4,22.4,13.2,26.2,27.8,39.69,7.27,29.12,31.51,32.17,6.94,31.23,29.97","526.55,575.26,538.98,563.04,671.42,543.29,582.1,534.08,549.68,684.08,699.19,688.38,584.53,609.8,658.41,555.57,703.45,532.02,610.11,572.88,641.35,591.73,676.38,657.69,732.79,641.69,678.85,525.43,534.37,562.09"
20,-9362.22,"16.04,22.55,21.14,19.54,10.1,16.72,22.52,22.6,35.09,26.54,32.28,25.5,16.11,7.28,29.85,30.83,35.71,22.74,8.42,28.71,30.03,32.84,23.01,12.9,15.73,24.66,35.87,34.98,19.59,26.47","624.25,606.43,632.88,598.09,552.22,675.33,622.66,600.41,591.22,570.9,582.91,623.82,800.74,547.56,653.01,528.71,542.64,570.49,623.28,594.73,607.88,543.81,589.23,593.59,661.78,540.14,572.32,525.45,642.89,585.1"
21,-9104.17,"16.75,28.21,23.25,34.39,23.3,11.57,27.99,24.37,25.09,24.37,17.06,21.26,23.95,29.96,23.78,26.2,25.81,26.56,28.93,31.79,21.52,20.29,9.98,31.59,29.22,31.55,26.66,27.38,21.37,25.78","650.65,637.08,621.46,582.91,590.73,657.75,540.27,611.25,642.86,575.82,700.91,603.82,548.46,531.84,660.41,615.89,601.0,641.06,679.6,541.21,710.08,646.52,562.9,688.58,561.66,589.2,610.0,680.52,552.37,580.16"
